name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
Pain Khobz rond traditionnel,4c et un peu de farine extra blanche – n'utilisez pas de farine auto-levante ! (vous pouvez également utiliser du blé ou la moitié de chaque farine) - 2 tasses d'eau tiède - 1 cuillère à soupe de levure sèche active (ou 1 paquet de Red Star ou une marque similaire) - 2 cuillères à café de sel - 1 cuillère à café de sucre,"Dans un petit bol, ajoutez la levure, le sucre et 1 tasse d'eau tiède. Bien mélanger et laisser bouillonner la levure. Dans un grand bol, ajoutez la farine et le sel. Une fois que le mélange levure/eau commence à bouillonner, versez-le dans un bol avec la farine. Commencez à mélanger la farine et l'eau. Prenez une autre tasse d'eau tiède à côté et ajoutez-la lentement au mélange de farine. Vous ne pouvez pas utiliser la tasse entière. Continuez à mélanger la farine et l'eau jusqu'à ce que vous puissiez former une boule. À ce stade, cela devrait être un peu collant. Versez de l'huile végétale dans vos mains et commencez à l'incorporer à la pâte. Encore une fois, vous ne pouvez pas utiliser un quart de tasse plein. La majeure partie de la pâte doit se détacher de vos mains et se mélanger pour former une pâte qui sera élastique mais plus collante. Pétrir pendant 8 à 10 minutes. Vous pouvez le faire à la main ou dans un mixeur – si vous utilisez un mixeur, réduisez le temps à environ 5 minutes. Huiler le ballon et le bol et couvrir. Laisser reposer 15 minutes. Divisez la pâte en 2 à 3 portions selon la taille du pain souhaité. En utilisant les morceaux divisés, formez 2 à 3 boules plus petites. Saupoudrez de farine sur une planche ou un plan de travail et commencez à pousser la boule en commençant par le centre, de la même manière que vous formeriez une croûte de pizza. Le pain marocain est traditionnellement en forme de cercle, mais quelle que soit la forme que vous lui donnerez, cela n'aura pas vraiment d'importance ! La pâte doit avoir environ 1/4"" d'épaisseur et uniforme de tous les côtés. Enveloppez-la dans une serviette et continuez pour le reste des portions. Laissez la pâte lever environ 45 minutes. Préchauffez le tout à 400-425F. Une fois que la pâte a levé, piquez avec un de plusieurs fois et placez-le sur une plaque à biscuits ou une pierre à pâtisserie dans le four. Cuire jusqu'à ce qu'il commence à dorer et fasse un son sacré lorsque vous le tapotez - environ 18 à 20 minutes. Retirer du four et laisser refroidir.",75,20,95,https://marocmama.com/wp-content/uploads/2020/04/Round-Moroccan-Khobz-Bread-480x480.jpg,https://marocmama.com/khobz-moroccan-bread/
Batbout – Pain Pita Marocain,"4 tasses de farine blanche - 2 tasses de semoule ou de farine de blé - 2 cuillères à soupe plus 1 cuillère à café de sucre - 2 cuillères à café de sel - 3 cuillères à soupe d'huile végétale - 1 cuillère à soupe de levure active - 2 tasses d'eau (environ), divisée","Activez la levure en la mélangeant avec ¼ tasse d'eau tiède (pas chaude) et une cuillère à café de sucre. Mettez de côté le mélange jusqu'à ce qu'il soit mousseux, environ cinq à 10 minutes. Mélangez les farines, le sucre et le sel dans un bol à mélanger. Ajouter la levure, l'huile et le reste de l'eau et mélanger pour former une pâte. La pâte doit être molle mais pas collante. Si le mélange est trop collant, ajoutez un peu de farine, une cuillère à soupe à la fois. (N'oubliez pas que la pâte absorbera un peu plus de farine si vous la pétrissez à la main.) Si la pâte est un peu ferme, travaillez dans de l'eau supplémentaire, une cuillère à soupe à la fois. Pétrir la pâte au batteur avec un crochet pétrisseur, ou à la main sur une surface légèrement farinée, pendant environ 10 minutes ou jusqu'à ce qu'elle soit lisse et élastique. Divisez la pâte en boules lisses et laissez-les reposer, couvertes, sur une surface légèrement farinée pendant environ 10 minutes. Étalez chaque boule en un mince cercle d’environ ⅛ de pouce d’épaisseur. Placez la pâte étalée sur une serviette propre et sèche et couvrez. Laisser lever environ 1h à 1h30. Préchauffer une poêle en fonte très légèrement huilée, une plaque chauffante ou une autre poêle antiadhésive à feu moyen. Cuire le batbout en le retournant plusieurs fois jusqu'à ce qu'il soit doré des deux côtés. Le brunissement sera un peu inégal puisque le pain gonfle à la cuisson, mais ce n’est pas grave. Transférer le batbout cuit sur une grille pour qu'il refroidisse. Vous pouvez les empiler pendant qu’ils sont chauds.",120,45,165,https://marocmama.com/wp-content/uploads/2009/06/Moroccan-Batbout-Bread.jpg,https://marocmama.com/batbout-moroccan-pita-bread/
"Msemmen, Pain Batbout",3 tasses de farine tout usage - 2 tasses de farine de semoule - 2 cuillères à café de sel - 1 cuillère à café de levure sèche activée - 2 cuillères à café de sucre - eau tiède - - 1/2 tasse de légumes (n'importe quelle huile sans saveur) - - 14/ tasse de beurre fondu - semoule supplémentaire pour saupoudrer - poêle antiadhésive pour la cuisson,"Pour réaliser ce pain, il faut quelques étapes. J'ai pris plusieurs photos pour vous guider ainsi qu'une vidéo qui vous montrera la technique de pliage du pain. Vous aurez envie d’avoir une grande surface de travail. Je pétris habituellement mon pain et ma farine de pâtes directement sur le comptoir, mais si vous avez un bloc de boucher ou une grande planche à découper, cela fonctionne aussi. Mélangez la farine et la semoule ainsi que le sel, le sucre et la levure. Créez un petit puits au milieu. Commencez à verser de l’eau tiède petit à petit. Il n'y a pas de quantité exacte d'eau à ajouter. Vous devrez ajouter et pétrir au fur et à mesure. Continuez à travailler la pâte. Ma belle-sœur m'a toujours dit d'écouter jusqu'à ce que cela commence à ressembler à du chewing-gum lorsque vous le poussez vers le bas et le retirez. Alors c'est prêt. La texture finale ne doit pas être collante, mais lisse avec un peu de résistance. Laissez reposer la pâte pendant 15 minutes. Cassez ensuite des parts égales de pâte pour former des boules plus petites. Ceux-ci deviendront les pains individuels. Donnez aux petites boules 10 minutes supplémentaires de repos. Sur votre espace de travail étalez un peu d'huile et commencez à aplatir la première boule. Travaillez à partir du centre et poussez vers l’extérieur. Lorsque la pâte a doublé de volume, retournez-la, ajoutez plus d'huile sur le dessus et continuez à appuyer du centre vers l'extérieur. (la vidéo aidera à illustrer cela). Vous allez créer un gros morceau de pâte rond qui doit être transparent. Badigeonner la pâte de beurre et saupoudrer de semoule. Pliez un côté vers le bas pour créer un triangle, puis faites de même du côté opposé. Ajoutez plus de beurre et de semoule à la zone exposée par le pliage. Répétez cette opération jusqu'à ce que vous ayez créé une forme un peu comme un pentagone. Réserver et passer au morceau de pâte suivant. Lorsque vous en avez 3, la première pâte est reposée et peut passer à l'étape suivante. Rassemblez les bords et repliez-les sur eux-mêmes. Tirez ensuite tous les coins pour créer un paquet. Tournez les bords combinés pour former un joint et retournez-le. Vous aurez créé une boule de pâte épaisse. Continuez à faire ce processus jusqu'à ce que toute la pâte soit transformée en parcelles. Utilisez généreusement du beurre et de l’huile pendant que vous préparez le pain. Pour cuisiner, vous chaufferez une poêle antiadhésive à feu moyen. Commencez par la première boule de pâte que vous avez créée et en travaillant du centre vers l'extérieur, aplatissez-la jusqu'à environ 1/4"" d'épaisseur. Ajoutez un peu d'huile dans la poêle et placez le pain dans la poêle. Faites cuire 2-3 minutes sur le premier côté. Retournez et faites cuire encore 2 à 2 minutes sur le côté opposé. Vous devriez obtenir un pain doré et un peu croustillant à l'extérieur. Répétez jusqu'à ce que tout le pain soit cuit. Servir avec du miel ou de la confiture et bien sûr du thé à la menthe. !",60,45,105,https://marocmama.com/wp-content/uploads/2020/04/Msemmen-Batbout-Bread-Texture-480x480.jpg,https://marocmama.com/msemmen-batbout-moroccan-stovetop-bread/
Msemmen traditionnel,3½ tasses de farine (340 g) - ½ tasse de semoule fine (90 g) - 2 cuillères à café de sucre - 2 cuillères à café de sel - 1 cuillère à café de levure - 1½ tasse d'eau tiède (environ ⅓ litre) - 1½ tasse d'huile végétale - 1/2 tasse de semoule fine - ¼ tasse de beurre non salé très mou,"Mélangez tous les ingrédients secs dans un grand bol. Ajoutez 1½ tasse d'eau tiède et mélangez pour former une pâte. Ajoutez plus d'eau si nécessaire pour obtenir une pâte molle et facile à pétrir, mais non collante. Si la pâte est trop collante à manipuler, ajoutez un peu de farine, une cuillère à soupe à la fois. Transférer la pâte sur un plan de travail légèrement fariné et pétrir à la main pendant 10 minutes (ou pétrir la pâte au batteur sur socle avec crochet pétrisseur pendant 5 minutes), jusqu'à ce que la pâte soit très lisse et élastique. Mettez de côté un bol de beurre fondu/doux et un peu d’huile. Couvrez-vous les mains d’huile. Commencez par diviser la pâte en boules de la taille d’une balle de golf. Continuez jusqu'à ce que toute la pâte soit divisée. En commençant par la première boule que vous avez faite, ajoutez davantage du mélange de beurre sur vos mains et sur votre plan de travail. Aplatissez la boule en une couche très, très fine. Frottez un peu d'huile sur le dessus et pliez en trois. Ajoutez un peu d'huile et saupoudrez un peu de semoule sur la bande et pliez-la à nouveau en trois. Vous devriez maintenant avoir un petit carré de pâte. Continuez à travers les boules restantes. Faites chauffer une poêle et ajoutez une petite quantité d'huile dans la poêle. Gardez-le à feu moyen. En commençant par le premier « paquet » que vous avez assemblé, huilez-vous les mains et commencez à aplatir la pâte. Il doit être fin et conserver une forme carrée. Ne travaillez pas trop ou les couches se mélangent. Placer dans la poêle chaude et cuire jusqu'à ce qu'il soit doré et légèrement croustillant à l'extérieur. S’il ne prend pas une couleur dorée, vous n’utilisez pas assez d’huile.",45,30,75,https://marocmama.com/wp-content/uploads/2009/06/Stack-of-Msemmen-720x720.jpg,https://marocmama.com/msemmen/
Rghaif – Msemmen marocain farci,3½ tasses de farine (340 g) - ½ tasse de semoule fine (90 g) - 2 cuillères à café de sucre - 2 cuillères à café de sel - 1 cuillère à café de levure - 1½ tasse d'eau tiède (environ ⅓ litre) - - 1½ tasse d'huile végétale - 1/2 tasse fine semoule - ¼ tasse de beurre doux non salé - - 1/2 lb de viande hachée (bœuf ou agneau) - 1 oignon haché grossièrement - Une poignée de persil (haché très petit) - Une poignée de coriandre (hachée très petite) - Sel et poivre - 1 à café de poudre d'ail - 1-2 cuillères à café de paprika - 1/2 cuillère à café de poudre de chili ou de paprika fort (facultatif),"Dans un robot culinaire ou un mélangeur, mélangez tous les ingrédients de la garniture. Vous pouvez le laisser un peu gros si vous le souhaitez, mais je le préfère lisse. Mettre de côté. Préparez la pâte à m'semmen comme d'habitude. Mélangez tous les ingrédients secs dans un grand bol. Ajoutez 1½ tasse d'eau tiède et mélangez pour former une pâte. Ajoutez plus d'eau si nécessaire pour obtenir une pâte molle et facile à pétrir, mais non collante. Si la pâte est trop collante à manipuler, ajoutez un peu de farine, une cuillère à soupe à la fois. Transférer la pâte sur un plan de travail légèrement fariné et pétrir à la main pendant 10 minutes (ou pétrir la pâte au batteur sur socle avec crochet pétrisseur pendant 5 minutes), jusqu'à ce que la pâte soit très lisse et élastique. Mettez de côté un bol de beurre fondu/doux et un peu d’huile. Couvrez-vous les mains d’huile. Commencez par diviser la pâte en boules de la taille d’une balle de golf. Continuez jusqu'à ce que toute la pâte soit divisée. En commençant par la première boule que vous avez faite, ajoutez davantage du mélange de beurre sur vos mains et sur votre plan de travail. Aplatissez la boule en une fine couche. Si vous avez déjà préparé du msemmen, celui-ci devrait être légèrement plus épais que la normale. Frottez un peu d'huile sur le dessus et pliez en trois. Mélangez tous les ingrédients secs dans un grand bol. Ajoutez 1½ tasse d'eau tiède et mélangez pour former une pâte. Ajoutez plus d'eau si nécessaire pour obtenir une pâte molle et facile à pétrir, mais non collante. Si la pâte est trop collante à manipuler, ajoutez un peu de farine, une cuillère à soupe à la fois. Transférer la pâte sur un plan de travail légèrement fariné et pétrir à la main pendant 10 minutes (ou pétrir la pâte au batteur sur socle avec crochet pétrisseur pendant 5 minutes), jusqu'à ce que la pâte soit très lisse et élastique. Mettez de côté un bol de beurre fondu/doux et un peu d’huile. Couvrez-vous les mains d’huile. Commencez par diviser la pâte en boules de la taille d’une balle de golf. Continuez jusqu'à ce que toute la pâte soit divisée. En commençant par la première boule que vous avez faite, ajoutez davantage du mélange de beurre sur vos mains et sur votre plan de travail. Aplatissez la boule en une fine couche. Il ne doit pas être fin mais pas transparent. Frottez un peu d'huile sur le dessus et étalez une fine couche de pâte de viande et d'épices. Pliez en trois verticalement. Ajoutez un peu d'huile et saupoudrez de semoule sur la bande et pliez-la à nouveau en trois. Vous devriez maintenant avoir un petit carré de pâte. Continuez le même processus pour les boules de pâte restantes. Faites chauffer une poêle et ajoutez une petite quantité d'huile dans la poêle. Gardez-le à feu moyen. En commençant par le premier carré de pâte que vous avez assemblé, huilez-vous les mains et commencez à aplatir la pâte. Il doit être fin et conserver une forme carrée. Ne travaillez pas trop ou les couches se mélangent. Ne pas non plus pousser trop fort pour que la pâte se brise. Placer dans la poêle chaude et cuire jusqu'à ce qu'il soit doré et légèrement croustillant à l'extérieur. S’il ne prend pas une couleur dorée, vous n’utilisez pas assez d’huile. Il est préférable de les servir chauds, mais ils peuvent également être congelés et réchauffés plus tard.",45,30,75,https://marocmama.com/wp-content/uploads/2009/06/Making-Msemmen-480x480.jpg,https://marocmama.com/rghaif-stuffed-bread/
Moufletta juive marocaine,"3 3/4 tasses de farine - 1 1/2 tasse d'eau tiède (non bouillante) - 1 cuillère à soupe de levure - une pincée de sucre - Une pincée de sel - De l'huile végétale (pas d'olive), au besoin","Dans un petit bol, ajoutez la levure, le sucre et un peu d'eau tiède. Laisser reposer 5 minutes pour que la levure s'active. Dans un autre bol, ajoutez la farine et le sel. Commencez à verser la levure activée et mélangez la farine avec la main, comme si vous faisiez du pain. Continuez à ajouter de l'eau petit à petit jusqu'à ce que la farine soit entièrement incorporée. Knewad jusqu'à ce qu'une pâte légère et élastique se forme. Cela prendra environ 5 minutes. Divisez la pâte en petites boules. Elles peuvent être de n'importe quelle taille, plus les boules sont petites, plus le produit final est petit et vice versa. J'ai divisé cette recette en 16 morceaux mais cela pourrait aussi être 20. Couvrir d'un torchon et laisser reposer 20 minutes sur une surface plane et bien huilée. Huiler les mains et sur une surface huilée, déposer chaque boule de pâte. Utilisez vos doigts pour appuyer et étaler pour former une fine feuille de pâte. Versez une petite quantité d'huile dans la poêle. Chauffer à feu moyen et transférer la feuille de pâte dans le moule. Cuire 1 à 2 minutes de ce côté et retourner. Réalisez une deuxième feuille de pâte et placez-la sur le pain cuit dans le moule. Continuez jusqu'à ce que toute la pâte soit utilisée. Faites fondre le miel et le beurre dans une autre poêle et utilisez-les pour arroser la moufleta. Il ne faut pas lésiner sur cette partie !",30,30,60,https://marocmama.com/wp-content/uploads/2020/04/Moufleta_Finished-720x720.jpg,https://marocmama.com/moroccan-moufleta-recipe/
Beghrir – Crêpes 1000 Trous,"2 tasses de semoule fine ou de semoule de maïs (de semoule de préférence) - 1 tasse de farine tout usage - 1 cuillère à soupe de levure sèche - ¼ cuillère à café de levure chimique - ½ cuillère à café de sel - ½ cuillère à café de sucre - 1 œuf - 1 tasse de lait tiède mais agréable au toucher - 2 tasses d'eau, tiède mais agréable au toucher","Mélanger tous les ingrédients ensemble et battre jusqu'à ce que le tout soit bien mélangé. Vous pouvez le faire soit en battant avec un fouet métallique, soit en mélangeant le tout dans un mixeur. J’aime mieux les résultats du mixeur, mais utilisez ce dont vous disposez. Laissez-le reposer 20 à 30 minutes. Chauffer une poêle antiadhésive à feu moyen jusqu'à ce qu'elle soit chaude; J'ajoute un peu de beurre sur la première fournée pour m'assurer que la poêle est prête. Cuire d'un côté jusqu'à ce que le côté exposé soit plein de petites bulles et sec. Ces crêpes ne cuisent que d'un seul côté. Retirer du feu une fois que le dessus semble un peu sec. Traditionnellement, ils sont servis avec du beurre au miel mais j'ai étalé du Nutella dessus, puis je les ai roulés et servis avec quelques framboises et une pincée de sucre en poudre.",dix,20,30,https://marocmama.com/wp-content/uploads/2020/05/Beghrir-with-Chocolate-and-Raspberries-480x480.jpg,https://marocmama.com/beghrir-with-nutella-and-wild/
Tigrifine – Pain Plat Marocain,3 tasses de farine tout usage - 1/2 cuillère à café de levure - 1 cuillère à café de sel - eau tiède - juste au-dessus de la température ambiante,"Dans un grand bol ou un plan de travail, mélanger la farine, la levure et le sel. Commencez à ajouter de l'eau lentement pour incorporer la farine. Continuez à ajouter de l'eau jusqu'à ce qu'une pâte collante se forme. Pétrir la pâte pendant 5 à 8 minutes jusqu'à ce qu'elle ne soit plus collante et qu'elle rebondisse lorsqu'on la pousse avec le doigt. Laisser reposer 5 à 10 minutes. Faites chauffer une grande poêle à feu moyen. Divisez la pâte en parts égales. Pour créer chacun des morceaux de pain, poussez la pâte du centre vers l'extérieur pour créer un cercle, comme vous le feriez pour une croûte de pizza. Aplatir jusqu'à ce que la pâte atteigne environ 1/2 cm d'épaisseur et transférer dans la poêle. Cuire sur la première face pendant 30 secondes et retourner. Poursuivez la cuisson environ 5 minutes en retournant lorsque le dessous commence à dorer. Vous remarquerez que la pâte peut commencer à bouillonner par endroits – c’est ce que vous voulez, pas besoin de percer les bulles. Retirer du feu et poursuivre le processus sur toute la pâte. Servir avec du beurre et du miel (ou de l'amalou serait super aussi !)",20,30,50,https://marocmama.com/wp-content/uploads/2020/04/Tigrifine-Moroccan-Flat-Bread-480x480.jpg,https://marocmama.com/moroccan-flat-bread/
Pain Challah Marocain,"4 tasses de farine blanche - 1/2 cuillère à soupe de miel ou de sucre - 2 cuillères à soupe de levure sèche - 1/2 cuillère à soupe de sel - 1 œuf - 1/4 tasse d'huile végétale ou d'olive - 2-3 tasses d'eau tiède - un peu d'huile supplémentaire pour badigeonner le pâte avec ou un œuf supplémentaire (pour le lavage) - graines de sésame, graines d'anis, sucre et cannelle, ou autres épices pour garnir le pain","Vous aurez besoin d’un grand espace pour mélanger et pétrir votre pâte si vous le faites à la main. Mes instructions porteront sur le pétrissage à la main, mais vous pouvez utiliser un batteur sur socle si vous en avez un. Tamisez la farine pour éliminer les impuretés et allégez-la un peu. Dans un petit bol, ajoutez la levure, le miel et un peu d'eau tiède. Laissez-le tranquille pendant 3 à 4 minutes jusqu'à ce que la levure commence à bouillonner. Dans un autre bol, fouettez ensemble l'huile et l'œuf. Faites un puits dans la farine et ajoutez le mélange d'œufs et d'huile, le sel et la levure. Remuer avec une cuillère en bois pour mélanger le liquide et la farine. Commencez à pétrir à la main, en ajoutant l'eau petit à petit jusqu'à ce que le tout soit incorporé. La pâte sera un peu ferme au début mais au fur et à mesure que vous la pétrissez, elle ramollira. S'il est sec, ajoutez un peu plus d'eau, mais seulement une petite quantité à la fois. La pâte sera pétrie pendant 6 à 8 minutes jusqu'à ce qu'elle soit molle et lisse. Enduire d’une légère couche d’huile et couvrir d’un torchon. Mettez au chaud dans votre cuisine et laissez lever environ 1 heure. Lorsque la pâte a levé, coupez-la en 4 morceaux égaux. Vous pouvez maintenant façonner la pâte comme vous le souhaitez. Préparez une grande plaque à pâtisserie (ou deux plus petites) recouverte de papier sulfurisé pour le pain. Motif de fleurs C'est mon terme pour cette forme. Avec l'un des 4 morceaux de pâte, divisez-le en deux parts égales. Étalez chacun en « serpents » de taille égale. Coupez chacun en trois morceaux égaux pour obtenir 6 morceaux au total. Placez-en un au milieu puis les 5 autres autour du centre. Turban/Couronne Prenez un des 4 morceaux de pâte avec lesquels vous avez commencé et divisez-le en deux morceaux. Étalez chacun d’eux en un long serpent – ​​l’épaisseur dépend entièrement de vous, mais visez deux morceaux d’égale épaisseur. Torsadez les deux tubes ensemble, en appuyant sur le haut du tube pour les empêcher de se séparer. Tournez jusqu'à la fin. Roulez l’extrémité ouverte pour créer une forme de cercle. Enfoncez les extrémités dans la pâte pour qu'elles ne s'ouvrent pas. Préchauffer le four à 400F, recouvrir à nouveau la pâte avec le torchon et laisser lever 20 minutes supplémentaires. Badigeonnez le dessus du pain avec un peu d'huile supplémentaire ou cassez l'œuf et fouettez, puis badigeonnez le dessus du pain. Saupoudrer de graines de sésame, de graines d'anis ou de graines de nigelle. Vous pouvez également saupoudrer de cannelle et de sucre ou laisser nature. Cuire au four préchauffé pendant environ 15 minutes. Il doit être brun sur le dessus et sonner creux lorsque vous le tapotez. Retirer du feu et laisser refroidir.",90,20,110,https://marocmama.com/wp-content/uploads/2021/02/Challah-Bread-480x480.jpg,https://marocmama.com/moroccan-challah-bread-recipe/
Pain marocain au persil,"4 tasses de farine blanche - 1 cuillère à café de sucre - 2 cuillères à café de sel - 3/4 - 1 cuillère à soupe de levure active - 2 tasses d'eau (environ), divisées - Persil haché ou autre herbe - Huile végétale ou d'olive pour la cuisson (facultatif)","Activez la levure en la mélangeant avec ¼ tasse d'eau tiède (pas chaude) et le sucre. Mettez de côté le mélange jusqu'à ce qu'il soit mousseux, environ cinq minutes. Ajoutez la farine dans un grand bol à mélanger avec le sel et mélangez rapidement. Ajoutez la levure et commencez à mélanger en ajoutant plus d'eau si nécessaire pour incorporer toute la pâte. La pâte doit être molle mais pas collante. Si le mélange est trop collant, ajoutez un peu de farine, une cuillère à soupe à la fois. (N'oubliez pas que la pâte absorbera un peu plus de farine si vous la pétrissez à la main.) Si la pâte est un peu ferme, travaillez dans de l'eau supplémentaire, une cuillère à soupe à la fois. Pétrir la pâte au batteur avec un crochet pétrisseur, ou à la main sur une surface légèrement farinée, pendant environ 10 minutes ou jusqu'à ce qu'elle soit lisse et élastique. Divisez la pâte en boules lisses et laissez-les reposer, couvertes, sur une surface légèrement farinée pendant environ 10 minutes. Étalez chaque boule en un mince cercle d’environ ⅛ de pouce d’épaisseur. Placez la pâte étalée sur une serviette propre et sèche et couvrez. Laisser lever environ 1 heure. Préchauffer une poêle en fonte très légèrement huilée, une plaque chauffante ou une autre poêle antiadhésive à feu moyen. Vous pouvez également laisser l’huile mais je trouve que cela ajoute un joli peu de couleur. Cuire le batbout en le retournant plusieurs fois jusqu'à ce qu'il soit doré des deux côtés. Le brunissement sera un peu inégal puisque le pain gonfle à la cuisson, mais ce n’est pas grave. Transférer le batbout cuit sur une grille pour qu'il refroidisse. Vous pouvez les empiler pendant qu’ils sont chauds. Badigeonner le pain d'huile d'olive ou de beurre fondu et saupoudrer de persil frais.",20,60,80,https://marocmama.com/wp-content/uploads/2022/07/Moroccan-Parsley-Bread-480x480.jpg,https://marocmama.com/how-to-make-easy-moroccan-parsley-bread/
