name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
Trempette Zaalouk,"2 grosses aubergines (600 g) - 4 tomates moyennes (320 g), épépinées et hachées - 3 cuillères à soupe d'huile d'olive - 3 gousses d'ail émincées ou pressées - 2 cuillères à café de paprika - 2 cuillères à café de cumin moulu - 1 cuillère à café de sel - ¼ cuillère à café de sucre en poudre","• Retirez 3 bandes verticales de peau sur chaque aubergine. Jetez les lanières verticales et coupez les aubergines en gros cubes. • Faites chauffer l'huile d'olive dans une grande poêle et ajoutez les aubergines, les tomates, l'ail, le paprika, le cumin, le sel et le sucre. Couvrir à feu moyen-doux jusqu'à ce que les légumes soient tendres, environ 25 à 35 minutes. Remuez de temps en temps pour vous assurer que les légumes ne collent pas à la poêle.",15,30,45,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/3a66da93-bb56-418c-9f31-c8a7d64d8534/zaalouk+dip.jpg,https://www.mymoroccanfood.com/home/2022/10/17/zaalouk-dip
"Salade de pêches et tomates, vinaigrette à la fleur d'oranger et au miel",3 pêches segmentées - 150 g de tomates cerises (ou tomates grappes concassées) coupées en deux - 80 g de feuilles de roquette - 100 g de feta émiettée (ou tout autre fromage à pâte molle) - Noisettes hachées (ou tout type de noix),"• Dans un grand bol à mélanger, ajouter tous les ingrédients de la vinaigrette et remuer jusqu'à consistance lisse.",15,38,53,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/0ef47bc7-7588-44aa-b30c-ac09ab8c43e9/Pêche+et+tomate+salade+avec+orange+fleur+et+miel+vinaigrette,https://www.mymoroccanfood.com/home/peach-and-tomato-salad-with-orange-blossom-and-honey-dressing
Boulettes de viande kefta et tajine à la sauce tomate avec sauce au yaourt aux jalapeño et aux herbes,2 cuillères à soupe d'huile d'olive - 2 gousses d'ail écrasées ou finement hachées  - 1 boîte de tomates pelées (400 gr/14 oz.)  - 10 g de persil plat finement haché  - 10 g de coriandre finement hachée   - 1 cuillère à café de cumin moulu  - 1 cuillère à café de paprika - ½ cuillère à café de sel ou plus au goût - ½ cuillère à café de sucre - ¼ cuillère à café de poivre noir moulu,Oignons légèrement marinés,20,60,80,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1631711049864-QW4RSYM9D9OSPLJ3Q3L3/KEFTA+AND+TOMATO+TAGINE.jpg,https://www.mymoroccanfood.com/home/kefta-meatballs-and-tomato-tagine
Cornes de gazelle aux graines de sésame avec pépites arc-en-ciel,150 g de graines de sésame - 250 g d'amande moulue - 120 g de sucre en poudre - 2 cuillères à soupe d'eau de fleur d'oranger  - 40 g de beurre non salé ramolli - ¼ cuillère à café de sel -  ¼ pincée de cannelle moulue - 2 cuillères à soupe de pépites de sucre arc-en-ciel  - 2 blancs d'œufs,"• Préchauffer le four à 200 °C (ventilateur 180 °C), thermostat 6. Étalez les graines de sésame sur une plaque à pâtisserie et faites-les rôtir pendant 7 à 10 minutes ou jusqu'à ce qu'elles soient dorées, en remuant à mi-cuisson pour vous assurer qu'elles rôtissent uniformément. À la sortie du four, versez les graines de sésame dans un bol peu profond et laissez refroidir. Laissez le four allumé à la même température.",15,22,37,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1620821417545-KPDF6ZTIF4SA0XWVQSYE/IMG_7767%2B3.jpg,https://www.mymoroccanfood.com/home/sesame-seeds-gazelle-horns-with-rainbow-sprinkles
Filets de poisson aux épices marocaines et poivrons à la sauce tomate,"2 cuillères à soupe d'huile d'olive             - 1 gros oignon, émincé   - 1 boîte de tomates hachées         - 60 ml de bouillon de légumes ou d'eau  - 1 poivron vert épépiné, épépiné et coupé en lanières - 1 poivron rouge, épépiné, épépiné et coupé en lanières      - 1 petit carotte, pelée et tranchée         - 60 g de céleri finement haché      - 10 g de coriandre fraîche finement hachée et plus pour servir  - 1 ½ cuillère à café de paprika - 1 cuillère à café de cumin moulu - ½ cuillère à café de gingembre moulu - ½ cuillère à café de sel - ½ cuillère à café de sucre en poudre          - ¼ cuillère à café de noir moulu poivre  - 4 filets de daurade       - 50g de feta émiettée","• Faites chauffer l'huile d'olive dans une grande casserole à feu moyen-doux. Ajoutez les tranches d'oignon, couvrez la poêle et laissez cuire environ 10 minutes ou jusqu'à ce qu'elles soient tendres et translucides, en remuant de temps en temps.",dix,23,33,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1611246094007-WJF7QI8K0FG8EZYAI6F5/6.jpg,https://www.mymoroccanfood.com/home/moroccan-spiced-fish-fillets-and-bell-peppers-in-tomato-sauce
Crêpes Baghrir aux pommes épicées au beurre noisette,125 g de semoule fine - 20 g de farine - 1 cuillère à soupe de sucre en poudre - ½ cuillère à café bombée de levure sèche active - ¼ cuillère à café de sel - 250 ml d'eau tiède  - 1 cuillère à café de levure chimique,"• Dans un mixeur incorporez la semoule, la farine, le sucre, la levure et le sel. Ajoutez l'eau tiède et mélangez jusqu'à ce qu'il n'y ait plus de grumeaux et que la pâte soit lisse. Si vous n'avez pas de mixeur, placez tous les ingrédients dans un grand bol et utilisez un fouet électrique au lieu d'un mixeur.",15,20,35,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1605979333689-VS37Y498SEEZWBV8UFJ9/apple%2Bbaghrir_-7.jpg,https://www.mymoroccanfood.com/home/baghrir-pancakes-with-brown-butter-spiced-apples
Ras El Hanout et pain à la citrouille aux morceaux de chocolat,260 g de farine ordinaire - 1 1/2 cuillères à café de levure chimique - 1/2 cuillère à café de bicarbonate de soude - 2 cuillères à café de ras el hanout - 1 cuillère à café de sel - 180 g de cassonade  - 2 gros œufs - 120 g de beurre fondu et plus pour beurrer la poêle - 60 ml de noir à thé (sachet de thé noir imbibé d'eau chaude) - 2 cuillères à café d'extrait de vanille - 320 g de purée de potiron - 140 g de morceaux ou pépites de chocolat noir,Sucre ras el hanout (facultatif),34,34,68,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1603460480336-TIWM8IWE5ZDGW539VBI5/IMG_3733.jpg,https://www.mymoroccanfood.com/home/ras-el-hanout-and-chocolate-chunk-pumpkin-bread
Chou-fleur entier rôti à la chermoula sucrée,"5 cuillères à soupe d'huile d'olive - 4 cuillères à soupe de miel clair - 3 gousses d'ail pelées et écrasées - 3 cuillères à soupe de jus de citron - 30 g de coriandre fraîche finement hachée - 3 cuillères à café de paprika - 2 cuillères à café de cumin moulu - 1 ¼ cuillère à café de sel, ou plus au goût - 1 chou-fleur entier de taille moyenne (environ 600gr) - Amandes effilées pour la garniture, si désiré - Feuilles de laitue pour servir, si désiré",• Préchauffez le four à 200°C (ventilateur 180°C) et mélangez tous les ingrédients de la chermoula sucrée dans un bol jusqu'à obtenir une consistance lisse. Vous pouvez également placer tous les ingrédients dans un robot culinaire.,15,20,35,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1558017183427-KR7E390DNAW3BYO3ZQQC/Sweet+chermoula+whole+roasted+cauliflower+-6.jpg,https://www.mymoroccanfood.com/home/sweet-chermoula-whole-roasted-cauliflower
Rfissa Express – Poulet parfumé et lentilles aux pappardelles,"4 cuillères à soupe d'huile d'olive - 4 grosses cuisses de poulet - 3 gros oignons émincés - 20 g de coriandre fraîche finement hachée et plus pour la garniture, si désiré - 3 gousses d'ail pelées et écrasées - 1 cuillère à café de curcuma moulu - 1 cuillère à café de gingembre moulu - 1 cuillère à café ras el hanout - ¾ cuillère à café de sel, ou plus selon goût - ¼ cuillère à café de poivre noir moulu - 1 pincée de fils de safran - 200 ml de bouillon de légumes ou de volaille - 1 boîte de 400 g de lentilles vertes égouttées - 500 g de papardelles cuites selon l'emballage","• Faites chauffer 2 cuillères à soupe d'huile d'olive dans une grande casserole à feu moyen-vif. Ajouter les cuisses de poulet (par lots si nécessaire), côté peau vers le bas, et saisir pendant environ 5 minutes jusqu'à ce qu'elles soient dorées. Assurez-vous que l’huile est bien chaude avant d’ajouter le poulet – vous devriez entendre un grésillement lorsque la peau touche la poêle, sinon elle n’est pas assez chaude. La peau se détachera naturellement de la chair du poulet une fois saisie, alors ne soyez pas tenté de la retirer au préalable. Transférez le poulet poêlé dans un plat et réservez jusqu'à ce que vous soyez prêt à l'utiliser.",30,60,90,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1551962083552-MS4MD9H9TX0VQQAGS215/Rfissa+Express+-6.jpg,https://www.mymoroccanfood.com/home/rfissa-express-fragrant-chicken-and-lentils-with-papardelle
Salade César croustillante aux pois chiches et à l'harissa,500g de pois chiches égouttés - 2 cuillères à soupe d'huile d'olive - 2 cuillères à soupe d'harissa,"• Préchauffez le four à 180 °C et tapissez une plaque à rôtir de papier sulfurisé. Rincez et égouttez soigneusement les pois chiches et utilisez un torchon pour les sécher. Transférer les pois chiches, l'huile d'olive et la harissa dans un grand bol à mélanger. Utilisez vos mains pour recouvrir tous les pois chiches avec la harissa et transférez-les dans la plaque à pâtisserie tapissée. Rôtir pendant 35 à 40 minutes en remuant bien les pois chiches de temps en temps jusqu'à ce qu'ils soient cuits et croustillants.",22,36,58,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1547650926044-1EZ03Y29B8CFU22SV3UE/Crispy+harissa+pois chiches+ceasar+salad+-1-2.jpg,https://www.mymoroccanfood.com/home/crispy-harissa-chickpea-ceasar-salad
