,Recipe Name,Duration,Difficulty,Calories /pers,Related,Description,Ingredients,Preparation,Dietetique,Astuces,Image url
0,Harira Choumicha,2 h 25 min,Facile, ,Hiver - Ramadan - Recettes marocaines - Traditionnel - Pois chiche,"La harira est une soupe traditionnelle marocaine consistante composée de tomates, de pois chiches, de viande, de vermicelles et d’épices. Servie bien chaude, elle accompagne la plupart des repas d'hiver et est un plat incontournable lors du Ramadan. Cette soupe se déguste généralement avec des dattes. Cette harira Choumicha n’est autre que la version de la célèbre cuisinière et présentatrice d’émissions gastronomiques marocaine Choumicha.","Agneau (600 g) - Purée de tomate (1 kg) - Pois chiches (200 g) - Farine (100 g) - Eau (2 l) - Lentille(s) verte(s) (100 g) - Vermicelle(s) (100 g) - Céleri haché (3 branche(s)) - Oignon(s) (2 ) - Curcuma en poudre (4 c. à soupe) - Concentré de tomate (2 c. à soupe) - Cannelle en poudre (1 c. à soupe) - Gingembre (1 c. à soupe) - Ras-al-hanout (1 c. à soupe) - Coriandre ciselée ( ) - Persil ciselé ( ) - Huile d'olive ( ) - Sel, poivre ( )","Pour préparer votre harira choumicha, versez un peu d'huile d'olive dans une marmite et faites revenir les oignons ainsi que la coriandre, le persil et le céleri.  
- Coupez l'agneau en morceaux et faites-le revenir quelques petites minutes. Ajoutez le curcuma, la cannelle, le gingembre, le ras-el-hanout et le concentré de tomates pendant 5 min à feu moyen. Remuez en veillant à ce que votre préparation de harira choumicha n'accroche pas. Ajoutez la purée de tomates et laissez cuire 10 minutes supplémentaires. 
- Passez sous l'eau vos lentilles, versez-les dans la marmite. Égouttez vos pois chiches que vous aurez fait tremper dès la veille, ajoutez-les, puis recouvrez d'eau bouillante. Salez et poivrez.  
- Portez la harira choumicha à ébullition, baissez le feu et laissez mijoter durant 2h. 
- Ajoutez les vermicelles et laissez cuire 5 minutes. 
- Pendant ce temps, préparez votre liant : délayez vivement la farine dans une petite quantité d’eau. Ajoutez ce mélange petit à petit à votre soupe en la mélangeant. Selon la texture que vous souhaitez, il se peut que vous n'utilisiez pas toute la quantité.  Laissez épaissir quelques minutes. Votre harira choumicha est prête ! ","<p class=""serif-secondary txt-dark-gray"">Il est possible de préparer votre harira choumicha sans viande si vous êtes végétarien. D'ailleurs, les légumineuses, ingrédients à part entière de cette recette, sont très intéressantes sur le plan nutritionnel. En effet, les lentilles comme les pois chiches sont riches en fibres, en minéraux, protéines et vitamines. De plus, elles rassasient rapidement. Elles sont donc parfaites pour un plat complet et consistant.</p>","Pour accélérer la préparation de votre harira choumicha, vous pouvez vous servir d’une cocotte minute, qui réduira le temps de cuisson. Au fil de la cuisson, n'hésitez pas à rectifier l'assaisonnement en fonction de vos goûts. Vous l'aimez pimentée ? Alors ajoutez-y un petit piment frais. Avant de déguster, vous pouvez également parsemer de coriandre ciselée et disposer quelques feuilles de menthe fraîche dessus. Un délice !",https://img.cuisineaz.com/660x660/2016/06/28/i74271-harira-choumicha.jpeg
1,Couscous royal,2 h 15 min,Facile,1490,Recettes marocaines - Traditionnel - Agneau (mouton) - Poulet - Semoule,"Plat signature de la cuisine orientale, le couscous remonterait au IIIe siècle avant notre ère ! Si sa garniture varie selon les coutumes locales, sa base demeure invariable : de la semoule de blé, et un ragoût de légumes aux épices cuisiné théoriquement avec une seule variété de viande. C’est pourtant le couscous royal (unissant merguez, agneau et poulet) qui a conquis nos assiettes occidentales ! Voyagez au Maghreb le temps d’un repas avec cette recette pleine de saveurs.",Grains de couscous (moyen) (1 kg) - Épaule d'agneau désossée (1 kg) - Poulet (1 ) - Merguez (12 ) - Pois chiches (2 tasse(s)) - Courgette(s) (4 ) - Carotte(s) (4 ) - Navet(s) (2 ) - Aubergine(s) (2 ) - Tomate(s) mûre(s) (3 ) - Oignon(s) (1 ) - Raisins secs (150 g) - Smen (3 c. à soupe) - Concentré de tomates (2 c. à soupe) - Ras el-hanout (3 c. à café) - Paprika (1 c. à café) - Persil plat (5 brin(s)) - Harissa (1 pincée(s)) - Huile d'olive (1 verre(s)) - Sel (1 pincée(s)) - Poivre (1 pincée(s)),"Découpez les parties nobles du poulet (cuisse, blanc et ailes) en morceaux et l'épaule d'agneau en cubes assez gros. Dans le bas du couscoussier, faites-les revenir à feu vif pendant 5 à 10 min dans de l'huile d’olive. Ajoutez le smen, les viandes, l'oignon émincé dans une grande cocotte ou un plat à tajine. Ajoutez les épices à couscous, salez et poivrez. 
- Versez le coulis de tomates et les tomates fraîches, mouillez d'eau à hauteur, mélangez et laissez mijoter 15 min, à feu doux. Pelez les carottes et les navets. Coupez les aubergines et les carottes en bâtonnets, les navets en quartiers et les courgettes en tronçons. Faites gonfler les raisins secs dans un bol d’eau chaude. 
- Ajoutez les légumes, le persil et les épices (vous pouvez ajouter 1 branche de céleri, 1 bouquet de persil, et 1 bouquet garni) et complétez d'eau à hauteur. Faites reprendre l'ébullition, couvrez et prolongez la cuisson 45 min à 1 heure à petits bouillons. Ajoutez, 5 min avant la fin, les pois chiches et les raisins secs égouttés. 
- Préparez la semoule selon l'indication du paquet et incorporez du beurre en parcelles à l'aide d'une fourchette afin de bien séparer les grains. Faites griller les merguez à la poêle. 
- Le couscous, les viandes, les légumes cuits et la sauce seront servis dans des plats séparés. Par exemple, présentez la semoule en dôme sur un grand plat et disposez dessus les merguez en étoile. Prélevez avec une écumoire, les légumes et les viandes, dressez-les dans deux plats creux séparés. Versez le bouillon dans une soupière. Prélevez-en une louche pour y diluer l'harissa.","<p class=""serif-secondary txt-dark-gray"">Le couscous est l’emblème de la cuisine orientale tant appréciée pour ses saveurs uniques et dépaysantes. En plus d’être délicieux, le couscous est un plat très équilibré qui contient à la fois de bonnes protéines apportées par la viande, des glucides apportés par la semoule ainsi que des fibres et des micronutriments apportés par les légumes et les pois chiches. Il est aussi relativement pauvre en graisses ce qui lui confère un profil nutrition presque parfait ! Pour varier les plaisirs, le couscous peut être réalisé à base de poisson ou de légumes exclusivement. </p>","Dans la version traditionnelle du couscous marocain, il est important de mélanger les grains de semoule à la main pour qu’ils se détachent les uns des autres tout en cuisant. Vous pouvez toutefois utiliser une fourchette si vous le souhaitez. N'hésitez pas à enrichir ce plat de boulettes de viande de bœuf pour un repas encore plus consistant et généreux !",https://img.cuisineaz.com/660x660/2016/04/28/i15329-couscous-royal.jpg
2,Tajine marocain,1 h 20 min,Facile, ,Ramadan - Recettes marocaines - Agneau (mouton) - Carotte - Courgette - Cumin - Oignon - Olive - Pomme de terre - Tomate,"Célèbre mijoté, le tajine marocain se cuisine traditionnellement avec de l’agneau et des légumes dans une sauce presque confite au parfum d’olives et d’épices. Il cuit longtemps, mais se prépare facilement, se partage en famille ou entre amis, pour le ramadan ou sans occasion spéciale. Encore mieux ? Il peut même se cuisiner la veille puisque comme tous les mijotés, celui-ci est encore meilleur réchauffé. Aucune raison d’hésiter, donc, décollez pour le Maroc avec l’une de ses spécialités culinaires les plus emblématiques… et les plus conviviales !",Agneau (800 g) - Pomme(s) de terre (4 ) - Carotte(s) (1 ) - Tomate(s) (1 ) - Courgette (1 ) - Oignon(s) (1 ) - Olives vertes (1 poignée(s)) - Safran (2 pincée(s)) - Cumin (1 c. à café) - Huile d'olive ( ) - Sel ( ) - Poivre ( ),"Chauffez 1 c. à soupe d’huile dans un plat à tajine au feu. Faites-y dorer la viande sur toutes les faces durant 10 min. 
- Épluchez l’oignon, les pommes de terre et la carotte, coupez-les en morceaux. Lavez la courgette et coupez-la en morceaux.  
- Ajoutez tous les légumes, dans le tajine avec du cumin et du 4 épices, du sel et du poivre, le safran, les olives et un verre d’eau. Couvrez et laissez cuire 30 min à feu doux. 
- Ajoutez la tomate lavée et coupée en morceaux. Laissez cuire encore 15 min. Servez chaud avec du pain.", ,"Le vrai tajine marocain cuit dans un… tajine, gagné, puisqu’il s’agit aussi du nom du plat en terre cuite au couvercle pointu dans lequel mijote la recette. Si vous n’en avez pas, optez simplement pour une cocotte en fonte ou même une sauteuse, le régal sera le même, bien que moins traditionnel ! Pour la viande, choisissez de la selle ou de l’épaule en morceaux et si vous avez un os, ajoutez-le, il boostera les saveurs. Enfin, si vous souhaitez twister la recette, ajoutez des abricots ou des raisins secs, augmentez ou modifiez les épices, et changez de légumes au fil des saisons !",https://img.cuisineaz.com/660x660/2024/02/29/i197524-tajine-marocain.jpg
3,Couscous traditionnel aux légumes,1 h 20 min,Intermédiaire, ,Recettes marocaines - Traditionnel - Recettes algériennes - Boeuf - Carotte - Courgette - Navet - Pois chiche - Recettes tunisiennes - Semoule - Famille,"Le couscous est un plat traditionnel du Maghreb, composé de viande au choix, de légumes variés et de semoule. Il est nappé d'une délicieuse sauce parfumée aux épices. C'est un plat familial, dont la recette se transmet de génération en génération. Il se déguste bien chaud, en toutes saisons.","Paleron de boeuf (800 g) - Semoule (300 g) - Pois chiches en boîte (200 g) - Tomate(s) (5 ) - Navet(s) (2 ) - Courgette(s) (5 ) - Carotte(s) (5 ) - Oignon(s) (2 ) - Bouillon de légumes (1 cube(s)) - Paprika (1 c. à café) - Curcuma (1 c. à café) - Ras el-hanout (1 c. à café) - Gingembre (0,5 c. à café) - Sel poivre ( ) - Huile d'olive ( ) - Coriandre ( ) - Persil ( )","Dans une cocotte, faites revenir dans l'huile d'olive les oignons émincés et les tomates mixées pendant 5 min environ. Ajoutez le cube de bouillon de légumes, les épices et les herbes et laissez cuire quelques minutes supplémentaires. Ajoutez la viande coupée grossièrement en morceaux et faites-la dorer légèrement dans ce mélange.  
- Ajoutez les navets coupés en quarts et couvrez avec 1L d'eau bouillante. Laissez cuire 25 min.  
- Coupez les carottes en 4 et ajoutez-les à votre bouillon. Laissez cuire à nouveau environ 15 min. Ajoutez les pois chiches et laissez cuire 5 à 10 minutes.  
- Parallèlement, préparez et faites cuire la semoule. Une fois cuite, versez-la dans une grande assiette plate et formez un creux. Versez au centre un peu de votre sauce, disposez vos légumes au-dessus ainsi que votre viande. Nappez d'un peu de sauce à nouveau.  
- Conservez le restant de sauce dans un bol à disposition, avec lequel chacun pourra se resservir à sa guise. ", ,"Si vous aimez le goût piquant, il est possible de diluer un peu d'harissa dans un bol de sauce, à verser sur votre semoule. ",https://img.cuisineaz.com/660x660/2022/02/23/i183021-couscous-traditionnel-aux-legumes.jpeg
4,Sellou à la marocaine,40 min,Intermédiaire, ,Recettes marocaines - Pas Cher - Plat pas cher,"Le Sellou à la marocaine est une spécialité très appréciée pendant le mois du ramadan où il apaise généreusement et avec gourmandise la faim avant une journée d'abstinence ou bien lors de la rupture du jeune. Il tient sa belle couleur caramélisée qui fait penser à la cannelle de l'utilisation de farine blanche que l'on fait torréfier avant de lui ajouter un mélange de graines de sésame et d'amandes également grillées ainsi que du miel et du beurre clarifié. La texture du Sellou à la marocaine varie selon les quantités de corps gras ajoutées. Quand il est assez sec, un peu poudreux, cela permet de le présenter de façon traditionnelle en pyramide dans un grand plat que l'on décore avec des amandes entières et parfois saupoudré avec du sucre glace. Vous pouvez appréciez également une consistance plus moelleuse à la manière d'une pâte de Sellou à la marocaine qui permet de confectionner de petites bouchées individuelles.","Farine (500 g) - Amande émondée(s) (500 g) - Graines de sésame (500 g) - Beurre fondu (500 g) - Miel liquide (250 g) - Graine d'anis (1 c. à soupe) - Cannelle en poudre (1 c. à soupe) - Noix de muscade râpée (0,5 c. à café) - Poudre (0,5 c. à café) - Gomme (2 c. à café) - Amande grillée (1 verre(s)) - Sucre glace (2 c. à soupe)","Torréfiez la farine au four en la surveillant régulièrement ou bien dans une grande poêle antiadhésive chaude. Quelle que soit la technique, remuez régulièrement pour qu'elle prenne une belle couleur brune-dorée et en faites attention à ce qu'elle ne brûle pas.  Si vous utilisez la poêle, vous pouvez procéder en plusieurs fois pour obtenir une coloration homogène.  
- Tamisez la farine et réservez.  
- Faites griller de la même façon les graines de sésame pour les torréfier.  
- Puis procédez également à la torréfaction des amandes émondées, débarrassées de leur peau.  
- Dans la cuve d'un robot culinaire, mixez ensemble les ingrédients torréfiés avec la muscade, l'anis, la cannelle et la gomme arabique.  
- Versez la farine torréfiée et tamisée dans un grand plat large et creux, par exemple un gssâa marocain.  
- Ajoutez les fruits secs et les ingrédients que vous avez mixés en les mélangeant bien à farine.  
- Versez petit à petit du beurre fondu clarifié et  du miel en travaillant la préparation à la main pour bien les incorporer et lier le mélange.  
- Dosez la quantité de beurre clarifié selon la texture que vous souhaitez obtenir.  
- N'en ajoutez pas trop si vous voulez un Sellou à la marocaine traditionnel, encore ""poudreux"", idéal pour monter une jolie pyramide. Plus vous en ajoutez, plus votre Sellou sera lié et gras.  
- Dressez le Sellou à la marocaine en formant une pyramide dans une belle assiette. 
- Saupoudrez avec le sucre glace à l'aide d'une passoire et décorez en dessinant sur 4 côtés des lignes en partant du bas vers le sommet avec les amandes entières.", ,"Vous trouverez également la recette du Sellou à la marocaine sous d'autres dénominations, en particulier celle de Sfouf marocain ou encore de Zamita en Algérie où il est préparé avec une farine d'orge torréfiée. Concernant les proportions, elles différent selon les recettes mais vous pouvez partir sur une quantité identique pour la farine, les graines de sésame et les amandes.",https://img.cuisineaz.com/660x660/2016/07/09/i27808-sellou-a-la-marocaine.jpeg
5,Couscous Marocain,2 h 50 min,Facile, ,Recettes marocaines - Traditionnel - Carotte - Courges - Courgette - Pois chiche - Semoule,"Un couscous marocain traditionnel, simple à réaliser, qui constitue un excellent plat familial. Pour gagner du temps, nous utilisons la cocotte minute. Contrairement au couscous royal couramment servi en France, celui-ci ne contient pas de merguez. Au Maroc, le couscous est traditionnellement préparé et dégusté le vendredi, jour de la grande prière hebdomadaire pour les musulmans.","Carotte(s) (500 g) - Tomate(s) (2 ) - Oignon(s) (1 ) - Navet(s) (500 g) - Courge (250 g) - Courgette(s) (2 ) - Pois chiches (250 g) - Couscous fin (500 g) - Gigot d'agneau (500 g) - Coriandre fraîche (0,5 bouquet(s)) - Gingembre (0,5 c. à café) - Ras el-hanout (1 c. à café) - Curcuma (1 c. à café) - Huile d'olive (4 c. à soupe) - Sel, poivre ( )","Dans une cocotte-minute, déposez les morceaux de gigot d’agneau, l’oignon émincé et les tomates mixées. Ajoutez l’huile d’olive et les épices. Versez un petit verre d’eau. Laissez mijoter à feu doux pendant 10 min en remuant régulièrement à l’aide d’une cuillère en bois. Ajoutez ensuite les pois chiches égouttés et recouvrez le tout d’eau. Faites cuire à couvert pendant 15 min environ, toujours à feu doux. 
- Pendant ce temps, épluchez tous les légumes (navets, courge et courgettes) et coupez-les en morceaux de taille moyenne. Lavez la coriandre, séchez-la soigneusement et ficelez-la. 
- Au bout des 15 min de cuisson, ajoutez les morceaux de carotte, de navets et le bouquet de coriandre. Laissez cuire à nouveau 15 min en surveillant le niveau d’eau : ajoutez-en si besoin afin qu’elle couvre toujours entièrement les légumes et la viande.  
- Dans un saladier, déposez la semoule de couscous, ajoutez-y de l’eau tiède petit à petit en la travaillant à la main pour qu’elle gonfle légèrement et de façon homogène. Salez à votre convenance. 
- Dans un couscoussier, faites chauffer de l’eau. Disposez la semoule dans la partie supérieure et faites cuire pendant 20 min. Renouvelez l’opération (eau et cuisson à la vapeur). 
- Servez votre couscous marocain bien chaud, avec les légumes présentés à part.", ,"Au Maroc, on prépare également le ""couscous tfaya"", contenant des raisins secs et des oignons caramélisés. Il s'agit d'une version sucrée-salée de cet emblématique plat marocain. ",https://img.cuisineaz.com/660x660/2022/02/23/i183013-couscous-marocain.jpeg
6,crêpe marocaine msemen,21 min,Intermédiaire, ,Recettes marocaines - Pas Cher - Dessert pas cher,,Semoule fine (300 g) - Farine (500 g) - Sel fin (1 c. à café) - Eau tiède (500 ml) - Huile neutre (300 ml),"Le msemen marocain est une galette arabe particulièrement appétissante ! Miam ! 
- Commencez par préparer la pâte. Mélangez la farine, la semoule et le sel. Idéalement faites ce mélange dans un robot pour une pâte homogène à vitesse 1. Versez l'eau petit à petit et lorsque la pâte forme une boule, passez en vitesse 2 durant 10 minutes pour qu'elle soit bien pétrie. Si vous le faites à la main, ne négligez pas le pétrissage, sinon votre pâte ne sera pas assez élastique. 
- Préparez votre plan de travail afin de pouvoir déposer votre pâte et en faire des boules de 120 grammes. Prenez un pinceau en silicone et enduisez toutes les boules d'huile neutre. 
- Huilez bien vos mains, et aplatissez chaque boule jusqu'à obtenir une pâte la plus fine possible. Veillez bien à ce que la pâte ne se déchire pas. 
- Saupoudrez une feuille de pâte obtenue avec de la semoule fine. Rabattez les bords vers le milieu et saupoudrez de nouveau de semoule. Faites la même chose de façon à obtenir un carré. 
- Prenez une deuxième feuille de pâte, saupoudrez la également de semoule. Posez au centre de cette feuille le carré de pâte fait préalablement, saupoudrez de semoule et recommencer le pliage jusqu'à obtention d'un nouveau carré. 
- Recommencez avec l'ensemble des feuilles de pâte. Vous obtenez ainsi 6 carrés de pâte formés par ces différentes feuilles. Aplatissez chacun d'eux afin d'obtenir ne épaisseur d'environ 5 mm. 
- Pour les farcir, prenez une grosse cuillère en bois, et posez délicatement votre farce au centre du msemen marocain. Attention, pour ne pas déchirer votre pâte à crepe marocaine, votre farce doit être froide ! Si elle est chaude, elle fera fondre votre pâte. Repliez délicatement les 4 coins de façon à reformer un carré.  
- Faites chauffer votre poêle avec une goute d'huile d'olive, il faut qu'elle soit très chaude pour éviter que votre pâte à crepe marocaine msemen n'accroche. Vous pouvez maintenant procéder à la cuisson du msemen farci durant 2 à 3 minutes sur chaque face. 
- Astuce : vous pouvez en préparer en quantité, le msemen farci se conserve très facilement au réfrigérateur dans du papier aluminium !  
- Cette recette accompagnera toute la période du Ramadan ! Miam !", ,"Pour cette recette de crêpe marocaine msemen, vous pouvez compter 15 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de desserts, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2016/06/16/i29044-crepe-marocaine-msemen.jpeg
7,Tajine de poisson à la marocaine,1 h 10 min,Facile,775,Recettes marocaines,"Envie de voyager ? Et si vous partiez au Maroc quelques heures ? Préparez un bon tajine de poisson, avec des tomates, des poivrons, des pommes de terre, des carottes, de la coriandre... Dépaysement total et immédiat pour tous ceux qui aiment la cuisine du Maghreb. Mettez une petite musique orientale, tamisez les lumières, allumez les bougies... Et vous êtes à Marrakech ! Yallah !","Poisson blanc (750 g) - Tomate(s) (2 ) - Poivron(s) vert(s) (2 ) - Pomme(s) de terre (3 ) - Carotte(s) (4 ) - Citron(s) (1 ) - Ail (4 gousse(s)) - Coriandre (1 bouquet(s)) - Olives vertes (1 verre(s)) - Cumin (1 c. à soupe) - Paprika (1 c. à soupe) - Poivre (1 c. à café) - Huile d'olive (0,5 verre(s)) - Sel (1 pincée(s))","Dans un saladier, préparez la chermoula (marinade pour poisson) : mélangez l'huile d'olive, la coriandre ciselée, le cumin, le paprika, le poivre, l'ail haché, les tomates coupées en petits dés, le jus d'un citron et le sel. Ajoutez-y les filets de poisson coupés en morceaux. Mélangez avec les mains, assez longtemps pour que le poisson soit bien imprégné de la mixture. Réservez. 
- Pelez les carottes. Coupez-les en bâtonnets. Pelez les pommes de terre et coupez-les en morceaux. Faites griller les poivrons sur la flamme du gaz (ou au four), retirez la peau en la grattant sous l'eau du robinet et coupez-les en grosses lanières. 
- Disposez dans le fond du plat à tajine les bâtonnets de carottes et mettez le poisson au-dessus. Ajoutez un verre d’eau. Couvrez avec les pommes de terre, les poivrons, les olives et les morceaux de citron. Fermez le plat à tajine et laisser cuire environ 40 min à feu très doux. Il est indispensable d’utiliser un diffuseur de chaleur entre la flamme du gaz et le plat à tajine. 
- Servez le tajine de poisson bien chaud.", ,"Vous pouvez ajouter des citrons confits, très utilisés dans la cuisine marocaine. Votre tajine n'en sera que meilleur. Et si vous n'êtes pas fan de coriandre, remplacez-la par du persil plat.",https://img.cuisineaz.com/660x660/2015/01/28/i113288-tajine-de-poisson-a-la-marocaine.jpg
8,Brick de viande hâchée à la marocaine,1 h,Facile,687,Recettes marocaines,"Recette parfumée qui vient du Maroc, les bricks de viande hachée sont très appréciés pendant le mois de ramadan. Mais, vous pouvez aussi déguster ces samoussas orientaux lors d’un apéritif. Épicées et savoureuses, personne ne pourra résister à ces bricks et à leur cœur croustillant et craquant. Très facile à faire, ces samoussas sont de vrais gourmandises !",Brick(s) (20 Feuille(s)) - Viande hachée (500 g) - Tomate(s) fraîche(s) (6 ) - Oignon(s) (2 ) - Persil haché ( ) - Cumin ( ) - Paprika ( ) - Cannelle en poudre (1 pincée(s)) - Ail écrasé (1 gousse(s)) - Coriandre hachée ( ) - Gingembre ( ) - Farine (1 c. à soupe) - Eau ( ) - Huile d'olive (3 c. à soupe) - Huile pour friture ( ) - Sel poivre ( ),"Épluchez les oignons, coupez-les en petits dés, faites-les revenir dans une poêle avec 1 c. à soupe d'huile d'olive avec la gousse d'ail écrasée en remuant de temps à autre. Ajoutez 1/2 tasse d'eau et laissez cuire les oignons jusqu'à ce qu'ils soient ramolllis.  
- Coupez les tomates pelées en dés et ajoutez-les à la poêle avec les oignons et l'ail. Ajoutez le persil et la coriandre hâchés, puis toutes les épices ainsi que 2 c. à soupe d'huile d'olive et laissez cuire pendant 20 min. Intégrez ensuite la viande hâchée (après y avoir mis les mêmes épices), mélangez-la telle quelle dans la sauce et tournez énergiquement jusqu'à ce qu'elle se fonde dans la sauce. Laissez sur le feu jusqu'à la complète absorption de l'eau, la sauce doit être bien consistante et ""sèche"". 
- Pliez la feuille de brick sur elle-même et disposez-la de manière verticale (le coté arrondi à gauche). Puis, pliez-le en 2 (l'arrondi rabattu sur le diamètre à droite ). Mettez à peu près 1 c. à soupe de farce dans le bas de la feuille, pliez la feuille en biais de manière à former un triangle avec la pâte. Prenez le triangle garni et continuez de plier en remontant vers le haut. Mélangez la farine avec de l'eau (la pâte doit être très visqueuse pour faire coller la feuille de brick), et fermez la feuille. 
- Déposez les bricks dans un plat. Faites chauffer de l'huile à frire, une fois très chaude, déposez les bricks dans l'huile l'une après l'autre, retournez-les rapidement (ça dore rapidement), attendez quelques secondes encore, et sortez-les de l'huile. Mettez sur un papier absorbant, et déposez-les sur des feuilles de laitue, dégustez !", ,"Cette recette marocaine s'accorde parfaitement avec une salade verte ce qui en fait un souper complet et rapide. Sans aucune doute, le croquant de ces feuilletés à la viandes vous feront voyager. ",https://img.cuisineaz.com/660x660/2013/12/20/i101958-bricks-viande-marocaine.jpg
9,Salade d'oranges du Maroc,15 min,Facile, ,Recettes marocaines,"Délicieuse l’été, la salade d’oranges du Maroc est un dessert frais que l’on déguste aussi dès le matin au petit déjeuner pour faire le plein de vitamines. Dépaysement garanti avec ces oranges aromatisées à l’eau de fleur d’oranger et à la cannelle.
Vous pouvez préparer votre salade d’oranges du Maroc la veille afin qu’elle soit bien fraîche au moment de servir.",Orange(s) (7 ) - Sucre roux (2 c. à soupe) - Cannelle en poudre (2 c. à café) - Eau de fleur d'oranger (1 c. à soupe) - Sucre glace (2 c. à soupe),"Pelez à vif 6 oranges avec un couteau pointu parfaitement aiguisé: tranchez les extrémités de l’orange et ôtez avec soin toute la peau blanche. Levez alors les suprêmes en fines tranches, en les coupant bien et en enlevant toute la peau. Ce travail est long mais il est vraiment payant car c’est bien plus agréable en bouche de n’avoir que la pulpe dans l’assiette ! Déposez dans un grand plat les tranches de suprêmes d’orange en formant une belle rosace. 
- Pressez la dernière orange et récupérez le jus dans une casserole. Ajoutez le sucre et l’eau de fleur d‘oranger. Faites cuire à feu doux pour former un sirop puis laissez refroidir pendant 10 min environ. 
- Versez ce sirop d’orange sur le plat contenant les oranges puis saupoudrez de cannelle. Placez au réfrigérateur pendant au moins une heure. 
- Juste avant de servir, saupoudrez le plat avec le sucre glace.", ,"La salade d’oranges du Maroc accompagne parfaitement les pâtisseries orientales comme le makrout, et elle est délicieusement rafraichissante ! 
",https://img.cuisineaz.com/660x660/2016/06/23/i2159-salade-d-oranges-du-maroc.jpeg
