,name,ingredients,instructions,preparation_time_minutes,cooking_time_minutes,image_url,source
0,Traditional Round Khobz Bread,4c and a little extra white flour - do not use self rising flour! ( you can also use wheat or half of each flour) - 2 c warm water - 1 Tbsp active dry yeast (or 1 pkg of Red Star or like brand) - 2 tsp salt - 1 tsp sugar,"In a small bowl add yeast, sugar and 1c warm water. Mix well and allow yeast to bubble. In a large bowl add flour and salt. After yeast/water mixture begins to bubble pour into bowl with flour. Begin combining flour and water. Have another cup of warm water to the side and add slowly to flour mixture. You may not use the entire cup. Continue combining flour and water until you can form a ball. At this point it should be a bit sticky. Pour vegetable oil into your hands and proceeds to work it into the dough. Again you may not use a full 1/4 cup. Most of the dough should come off of your hands and combine into the dough that will be elastic but no longer sticky. Knead for 8-10 minutes. You can do this by hand or in a mixer - if using a mixer reduce the time to approximately 5 minutes. Oil the ball and the bowl and cover. Allow to rest 15 minutes. Divide dough into 2-3 portions depending on the size of the bread you would like. Using the divided pieces form 2-3 smaller balls. Sprinkle flour on a board or counter-top and begin to push down the ball beginning in the center, similar to how you would form a pizza crust. Moroccan bread is traditionally in a circle shape however whatever shape you make it will not really matter! The dough should be about 1/4"" thick and even on all sides. Wrap in a towel and continue for the remainder of the portions. Allow dough to rise about 45 minutes. Preheat the over to 400-425F. Once dough has risen prick with a from several times and place on a cookie sheet or baking stone into the oven. Cook until it begins to brown and makes a hallow sound when tapped - about 18-20 minutes. Remove from oven and allow to cool.",75,20,https://marocmama.com/wp-content/uploads/2020/04/Round-Moroccan-Khobz-Bread-480x480.jpg,https://marocmama.com/khobz-moroccan-bread/
1,Batbout – Moroccan Pita Bread,"4 cups white flour - 2 cups semolina or wheat flour - 2 Tbsp plus 1 teaspoon sugar - 2 tsp salt - 3 tablespoons vegetable oil - 1 Tbsp active yeast - 2 cups water (approximate), divided","Activate the yeast by mixing it with ¼ cup of warm (not hot) water and a teaspoon of sugar. Set aside the mixture until it’s frothy, about five to 10 minutes. Blend the flours, sugar and salt in a mixing bowl. Add the yeast, the oil and the rest of the water, and mix to form a dough. The dough should be soft but not sticky. If it’s too sticky to work with, add a little flour one tablespoon at a time. (Remember the dough will absorb a bit more flour if you knead it by hand.) If the dough feels a bit stiff, work in additional water, a tablespoon at a time. Knead the dough in a mixer with a dough hook, or by hand on a lightly floured surface, for about 10 minutes or until smooth and elastic. Divide the dough into smooth balls and leave them to rest, covered, on a lightly floured surface for about 10 minutes. Roll out each ball into a thin circle about ⅛ inch thick. Set the rolled out dough on a clean, dry towel and cover. Leave to rise for about 1 to 1½ hours. Preheat a very lightly oiled cast iron skillet, griddle or other non-stick pan over medium heat. Cook the batbout, turning several times, until golden brown on both sides. The browning will be a bit uneven since the bread puffs up as it cooks, but that’s okay. Transfer the cooked batbout to a rack to cool. It’s okay to stack them while they’re warm.",120,45,https://marocmama.com/wp-content/uploads/2009/06/Moroccan-Batbout-Bread.jpg,https://marocmama.com/batbout-moroccan-pita-bread/
2,"Msemmen, Batbout Bread",3 cups all-purpose flour - 2 cups semolina flour - 2 tsp salt - 1 tsp dry activated yeast - 2 tsp sugar - warm water - - 1/2 cup vegetable (any unflavored oil) - - 14/ cup melted butter - extra semolina for dusting - non stick pan for cooking,"To make this bread does require a few steps. I have taken several pictures to walk you through it as well as a video that will show you the folding technique for the bread.  You'll want to have a large work surface. I usually knead my bread and pasta flour right on the counter top but if you have a butcher block or large cutting board that works too. Combine the flour and semolina as well as the salt, sugar and yeast all together. Create a small well in the middle. Begin pouring in warm water a little at a time. There's no exact amount of water to add. You'll need to add and knead as you go.  Keep working the dough. My sister in law has always told me listen until it starts to sound like snapping chewing gum when you push it down and pull it back. Then it's ready. The final texture shouldn't be sticky, but smooth with a little resistance.  Allow the dough to rest for 15 minutes. Then break off equal parts of the dough to form smaller balls. These will become the individual breads.  Give the smaller balls an additional 10 minutes of resting time. On your workspace spread some oil and begin to flatten the first ball. Work from the center and push outwards. When the dough has doubled it's size flip it, adding more oil to the top and continue pressing from the center outward. (the video will help illustrate this). You will create a large round piece of dough that should be see through. Coat the dough with butter and sprinkle with semolina. Fold one side down to create a triangle, and then do the same on the opposite side. Add more butter and semolina to the area that has been exposed from the folding. Repeat this until you've created a shape a bit like a pentagon. Set aside and continue to the next piece of dough. When you have 3, the first dough has rested and can move to the next step. Gather the edges and fold them in on themselves again. Then pull up all of the corners to create a bundle. Twist the combined edges to form a seal and flip over. You will have created a thick dough ball.  Continue doing this process until all of the dough has been made into the parcels. Use butter and oil liberally as you prepare the bread. To cook you'll heat a non-stick skillet to medium heat. Start with the first dough ball you created and working from the center outward flatten it to approximately 1/4"" thickness. Add some oil to the skillet and place the bread in the pan. Cook for 2-3 minutes on the first side. Flip and cook an additional 2-2 minutes on the opposite side. You should end up with bread that is browned and a bit crispy on the outside. Repeat until all of the bread has been cooked. Serve with honey or jam and of course mint tea!",60,45,https://marocmama.com/wp-content/uploads/2020/04/Msemmen-Batbout-Bread-Texture-480x480.jpg,https://marocmama.com/msemmen-batbout-moroccan-stovetop-bread/
3,Traditional Msemmen,3½ cups flour (340 g) - ½ cup fine semolina (90g) - 2 tsp sugar - 2 tsp salt - 1 teaspoon yeast - 1½ cups warm water (approx. ⅓ liter) - 1½ cups vegetable oil - 1/2 cup fine semolina - ¼ cup very soft unsalted butter,"Mix all the dry ingredients in a large bowl. Add 1½ cups of warm water, and mix to form a dough. Add more water if necessary to make a dough that is soft and easy to knead, but not sticky. If the dough is too sticky to handle, add a little flour one tablespoon at a time. Transfer the dough to a lightly floured work surface and knead by hand for 10 minutes, (or knead the dough in a stand mixer with dough hook for 5 minutes), until the dough is very smooth and elastic. Set a bowl of the melted/soft butter and some oil aside. Cover your hands with oil. Begin by dividing the dough into golf ball size balls. Continue until all the dough is divided. Starting with the first ball you made, add more of the butter mixture to your hands and work surface. Flatten the ball to a very, very thin layer. Rub some oil on top, and fold into thirds. Add some more oil and sprinkle some semolina on the strip and fold again into thirds. You should now have a small square of dough. Continue through the remaining balls. Heat up a skillet and add a small amount of oil to the pan. Keep it on a medium heat. Starting with the first “package” that you assembled, oil your hands and begin flattening the dough. It should be thin and remain in a square shape. Do not overwork or the layers meld together. Place into the warm skillet and cook until golden brown and slightly crunchy on he outside. If it does not turn to a golden color, you are not using enough oil.",45,30,https://marocmama.com/wp-content/uploads/2009/06/Stack-of-Msemmen-720x720.jpg,https://marocmama.com/msemmen/
4,Rghaif – Stuffed Moroccan Msemmen,3½ cups flour (340 g) - ½ cup fine semolina (90g) - 2 tsp sugar - 2 tsp salt - 1 teaspoon yeast - 1½ cups warm water (approx. ⅓ liter) -  - 1½ cups vegetable oil - 1/2 cup fine semolina - ¼ cup very soft unsalted butter -  - 1/2 lb Ground meat (beef or lamb) - 1 onion coarsely chopped - Handful of parsley (chopped very small) - Handful of cilantro (chopped very small) - Salt and pepper - 1 tsp garlic powder - 1-2 tsp Paprika - 1/2 tsp chili powder or hot paprika (optional),"In a food processor or blender pulse all of the ingredients for the filling. You can leave it a bit chunky if you like but I prefer it smooth. Set aside. Prepare m'semmen dough as normal. Mix all the dry ingredients in a large bowl. Add 1½ cups of warm water, and mix to form a dough. Add more water if necessary to make a dough that is soft and easy to knead, but not sticky. If the dough is too sticky to handle, add a little flour one tablespoon at a time. Transfer the dough to a lightly floured work surface and knead by hand for 10 minutes, (or knead the dough in a stand mixer with dough hook for 5 minutes), until the dough is very smooth and elastic. Set a bowl of the melted/soft butter and some oil aside. Cover your hands with oil. Begin by dividing the dough into golf ball size balls. Continue until all the dough is divided. Starting with the first ball you made, add more of the butter mixture to your hands and work surface. Flatten the ball to a thin layer. If you have made msemmen before this should be slightly thicker than normal. Rub some oil on top, and fold into thirds. Mix all the dry ingredients in a large bowl. Add 1½ cups of warm water, and mix to form a dough. Add more water if necessary to make a dough that is soft and easy to knead, but not sticky. If the dough is too sticky to handle, add a little flour one tablespoon at a time. Transfer the dough to a lightly floured work surface and knead by hand for 10 minutes, (or knead the dough in a stand mixer with dough hook for 5 minutes), until the dough is very smooth and elastic. Set a bowl of the melted/soft butter and some oil aside. Cover your hands with oil. Begin by dividing the dough into golf ball size balls. Continue until all the dough is divided. Starting with the first ball you made, add more of the butter mixture to your hands and work surface. Flatten the ball to a thin layer. It shouldn't be thin but not see through. Rub some oil on top and spread a thin layer of the meat and spice paste. Fold into thirds vertically. Add some more oil and sprinkle semolina on the strip and fold again into thirds. You should now have a small square of dough. Continue the same process for the remaining dough balls. Heat a skillet and add a small amount of oil to the pan. Keep it on a medium heat. Starting with the first dough square that you assembled, oil your hands and begin flattening the dough. It should be thin and remain in a square shape. Do not overwork or the layers meld together. Also do not push too hard so that the dough breaks. Place into the warm skillet and cook until golden brown and slightly crunchy on he outside. If it does not turn to a golden color, you are not using enough oil. These are best served hot, but can also be frozen and reheated later.",45,30,https://marocmama.com/wp-content/uploads/2009/06/Making-Msemmen-480x480.jpg,https://marocmama.com/rghaif-stuffed-bread/
5,Moroccan Jewish Moufletta,"3 3/4 cups flour - 1 1/2 cups warm (not boiling) water - 1 Tbsp yeast - pinch of sugar - Pinch of salt - Vegetable (not olive) oil, as needed","In a small bowl add the yeast, sugar and a little bit of warm water. Leave alone for 5 minutes for the yeast to activate. In another bowl, add the flour and salt. Start pouring the activated yeast and mix the flour with your hand, just as if you were making bread. Continue adding water a little bit at a time until the flour is all incorporated. Knewad until a light and elastic dough is formed. This will take approximately 5 minutes.  Divide dough into small balls. They can be any size you like, the smaller the balls the smaller the final product and vice versa. I divided this recipe into 16 pieces but it could also be 20. Cover with dish towel and let stand 20 minutes on a flat, well-oiled surface.  Oil hands and on an oiled surface, place each ball of dough. Use your fingers to push down and spread to form a thin sheet of dough. Pour a small amount of oil in frying pan. Heat to medium and transfer the dough sheet to the pan. Cook for 1-2 minutes on this side and flip.  Make a second sheet of dough and place it on top of the cooked bread in the pan. Continue until all of the dough is used. Melt honey and butter in a separate pan and use it to drizzle over the moufleta. This part shouldn't be skimped on!",30,30,https://marocmama.com/wp-content/uploads/2020/04/Moufleta_Finished-720x720.jpg,https://marocmama.com/moroccan-moufleta-recipe/
6,Beghrir – 1000 Hole Pancakes,"2 cups fine semolina or cornmeal (preferably semolina) - 1 cup all-purpose flour - 1 tbsp dry yeast - ¼ teaspoon baking powder - ½ teaspoon salt - ½ teaspoon sugar - 1 egg - 1 cup milk, warm but comfortable to the touch - 2 cups water, warm but comfortable to the touch"," Mix all of the ingredients together and beat until blended well. You can do this either by beating with a wire whisk or mixing everything in a blender. I like the results of the blender better but use what you have available. Allow it to rest 20-30 minutes. Heat a non stick skillet on medium heat until hot; I add a little butter on the first batch to make sure the pan is ready.  Cook on one side until the exposed side is full of little bubbles and dry. These pancakes only cook on one side. Remove from the heat once the top looks a bit dry. Traditionally they are served with honey butter but I spread Nutella on, then rolled them up and served with some raspberries and a sprinkle of powdered sugar. ",10,20,https://marocmama.com/wp-content/uploads/2020/05/Beghrir-with-Chocolate-and-Raspberries-480x480.jpg,https://marocmama.com/beghrir-with-nutella-and-wild/
7,Tigrifine – Moroccan Flat Bread,3 cups all purpose flour - 1/2 tsp yeast - 1 tsp salt - warm water - just above room temperature,"In a large bowl or work surface combine the flour, yeast and salt. Begin adding water slowly to work into the flour. Continue adding water until a sticky dough is formed. Knead the dough for 5-8 minutes until it is no longer sticky and when pushed with a finger bounces back. Leave to rest 5-10 minutes Heat a large skillet on medium heat. Divide the dough into equal parts. To create each of the bread pieces push the dough down from the center outward to create a circle - just as you would a pizza crust. Flatten until the dough is about 1/2 cm thick and transfer to the skillet. Cook on the first side for 30 seconds and flip. Keep cooking for approximately 5 minutes, flipping as the underside begins to brown. You will notice the dough may start to bubble in spots - you want this, no need to puncture the bubbles. Remove from heat and continue the process through all of the dough. Serve with butter and honey (or amalou would be great too!)",20,30,https://marocmama.com/wp-content/uploads/2020/04/Tigrifine-Moroccan-Flat-Bread-480x480.jpg,https://marocmama.com/moroccan-flat-bread/
8,Moroccan Challah Bread,"4 cups white flour - 1/2 Tbsp honey or sugar - 2 Tbsp dry yeast - 1/2 Tbsp salt - 1 egg - 1/4c vegetable or olive oil - 2-3 cups warm water - a bit of extra oil to brush the dough with or an additional egg (for the wash) - sesame seeds, anise seeds, sugar, and cinnamon, or other spices to top the bread","You will need a large space to mix and knead your dough if doing it by hand. My instructions will be for hand kneading though you can use a stand mixer if you have one. Sift the flour to remove any impurities and lighten it a bit. In a small bowl add the yeast, honey and a bit of warm water. Leave it alone for 3-4 minutes until the yeast begins to bubble. In another bowl whisk together the oil and egg. Make a well in the flour and add the egg and oil mixture, salt, and yeast. Stir with a wooden spoon to combine the liquid and flour. Begin to knead by hand, adding the water a little bit at a time until everything is incorporated. The dough will be a bit firm to begin with but as you knead it will soften. If it feels dry, add a little more water but only a small amount at a time. The dough will be kneaded for 6-8 minutes until soft and smooth. Coat with a light layer of oil and cover with a towel. Put in a warm spot in your kitchen and allow to rise approximately 1 hour. When the dough has risen, cut into 4 equal pieces. Now you can shape the dough how you would like. Have a large baking sheet (or two smaller ones) covered with parchment paper ready for the bread. Flower Pattern This is my term for this shape. With one of the 4 pieces of dough divide it into two equal parts. Roll each out into equal-sized ""snakes"". Cut each into three equal pieces so you have 6 total pieces. Place one in the middle and then the other 5 around the center. Turban/Crown Take one of the 4 pieces of dough you started with and divide it into two pieces. Roll each of these out into a long snake - the thickness is completely up to you but aim for two pieces that are of equal thickness. Twist the two tubes together, pressing the top of the tube to keep them from separating. Twist until the end. Roll the open end up to create a circle shape. Press the ends into the dough so that they don't open up. Preheat the oven to 400F, cover the dough with the towel again, and leave to rise an additional 20 minutes. Brush the tops of the bread with a bit of extra oil or crack the egg and whisk and then brush over the top of the bread. Sprinkle with sesame seeds, anise seeds or nigella seeds. You could also sprinkle with cinnamon and sugar or leave it plain. Bake in the preheated oven for approximately 15 minutes. It should be brown on top and sound hollow when you tap it. Remove from the heat and allow to cool.",90,20,https://marocmama.com/wp-content/uploads/2021/02/Challah-Bread-480x480.jpg,https://marocmama.com/moroccan-challah-bread-recipe/
9,Moroccan Parsley Bread,"4 cups white flour - 1 teaspoon sugar - 2 tsp salt - 3/4 - 1 Tbsp active yeast - 2 cups water (approximate), divided - Chopped parsley or another herb - Vegetable or olive oil for cooking (optional)","Activate the yeast by mixing it with ¼ cup of warm (not hot) water and the sugar. Set aside the mixture until it’s frothy, about five minutes. Add the flour to a large mixing bowl along with the salt and give a quick mix. Add the yeast and begin to mix, adding more water as needed to incorporate all of the dough. The dough should be soft but not sticky. If it’s too sticky to work with, add a little flour one tablespoon at a time. (Remember the dough will absorb a bit more flour if you knead it by hand.) If the dough feels a bit stiff, work in additional water, a tablespoon at a time. Knead the dough in a mixer with a dough hook, or by hand on a lightly floured surface, for about 10 minutes or until smooth and elastic. Divide the dough into smooth balls and leave them to rest, covered, on a lightly floured surface for about 10 minutes. Roll out each ball into a thin circle about ⅛ inch thick. Set the rolled out dough on a clean, dry towel and cover. Leave to rise for about 1 hour. Preheat a very lightly oiled cast iron skillet, griddle or other non-stick pan over medium heat. You can also leave the oil off but I find it adds a nice bit of color. Cook the batbout, turning several times, until golden brown on both sides. The browning will be a bit uneven since the bread puffs up as it cooks, but that’s okay. Transfer the cooked batbout to a rack to cool. It’s okay to stack them while they’re warm. Brush the bread with olive oil or melted butter and sprinkle with fresh parsley.",20,60,https://marocmama.com/wp-content/uploads/2022/07/Moroccan-Parsley-Bread-480x480.jpg,https://marocmama.com/how-to-make-easy-moroccan-parsley-bread/
