,source,nom,description,ingredients,Difficulte,temps_preparation,temps_cuisson,temps_total,image
0,https://cuisine.journaldesfemmes.fr/recette/3136824-tchoutchouka-aux-oeufs,Tchoutchouka aux oeufs,"Découvrez ma recette revisitée de tchoutchouka aux oeufs sans poivron ! Ce plat est un incontournable de la cuisine maghrébine, savoureux et épicé, il se marie à la perfection avec des pains pitas.",4 à 5 Tomate - 1/2 Courgette - 1 Oignon - 1 à 2 gousse Ail - 1 piment rouge - 8 feuilles Basilic frais - 2 Oeuf - 1 cube de bouillon de légumes -  Basilic ou origan séché -  Paprika -  Curry -  Huile d'olive -  Sel -  Poivre,Facile,15 mn,20 mn,35 mn,https://img-3.journaldesfemmes.fr/pgMPCg6nXgpWxTp_Q-Y8UUL_sII=/750x500/f8377795a21b4b0ca36eb0bd52cc8d8a/ccmcms-jdf/39719309.jpg
1,https://cuisine.journaldesfemmes.fr/recette/323081-tajine-de-poulet-aux-abricots-pruneaux-et-amandes,"Tajine de poulet aux abricots, pruneaux et amandes",Tout simplement délicieux... et encore plus quand ce plat est servi avec une semoule aux épices.,2 Tomate - 2 Oignon - 200 g Pruneau - 1 douzaine d'abricots secs - 15 Amande - 1 dosette safran - 1 cube Bouillon de légumes - 1 pincée Cannelle - 1 pincée Cumin -  Huile d'olive -  Sel -  Poivre - 1 c à s graines de sésame - 500 ml Eau,Facile,30 mn,45 mn,1 h 15 mn,https://img-3.journaldesfemmes.fr/NSYvvG4gpXTzA9ZRwDRuwqdD560=/750x500/6ba1c0377637407489323a97971059e3/ccmcms-jdf/39907129.jpg
2,https://cuisine.journaldesfemmes.fr/recette/3112613-makrout-aux-dattes-facile-au-four,Makrout aux dattes facile au four,"Savourez ce Makrout aux dattes cuit au four. Le makrout est une pâtisserie maghrébine composée de semoule fine et moyenne, farcie aux dattes frites et gorgée au miel. Je vous propose un makrout au four très léger et tout aussi gourmand que celui frit.",125 g Semoule fine - 125 g Semoule moyenne - 1 pincée Sel - 70 ml Beurre fondu - 4 c à s Eau de fleur d'oranger - 60 ml Eau froide,Facile,30 mn,25 mn,3 h 55 mn,https://img-3.journaldesfemmes.fr/M61ZUDMpnyMopSFNRTHFhi32GbU=/750x500/a8112b386d1f4d4aaa6623f4b2fe9c21/ccmcms-jdf/39700288.jpg
3,https://cuisine.journaldesfemmes.fr/recette/3139592-cornes-de-gazelles-orientales-moelleuses,Cornes de gazelles orientales moelleuses,"Délicieuses ces cornes de gazelle orientales !! Fans de fleur d'oranger comme moi ? Ne cherchez plus, vous venez de trouver la bonne recette, inratable et facile à réaliser. On sert ces petites merveilles avec un bon thé à la menthe ou une tasse de café, pour le goûter de tous les jours et surtout pendant les fêtes de l'Aïd. Cette recette vous fait 20 cornes de gazelle.",300 g Farine - 100 g Beurre - 1 pincée Sel - 1 pincée Levure chimique - 1 c à s Sucre glace - 8 cl Eau de fleur d'oranger,Facile,30 mn,20 mn,50 mn,https://img-3.journaldesfemmes.fr/OyxofPXUHdhQXrFsTJeBIQGA7Ps=/750x500/bdb29ffb9e9d497bb458bef9fefcdaa7/ccmcms-jdf/39879603.jpg
4,https://cuisine.journaldesfemmes.fr/recette/3121190-rfissa-de-poulet-a-la-marocaine,Rfissa de poulet à la marocaine,Ce plat très complet est servi très souvent aux mamans qui viennent d'accoucher pour leur redonner des forces !,300 g semoule fine - 500 g farine T55 - 1 c à c sel fin - 500 ml eau tiède,Difficile,3 h,1 h,4 h,https://img-3.journaldesfemmes.fr/7aOMNAzaV5PR3QM8OXjoWqLqHGo=/750x500/59e0681f5f3b4f70b0d66259101c71a0/ccmcms-jdf/39707109.jpg
5,https://cuisine.journaldesfemmes.fr/recette/3134136-ghriba-praline,Ghriba praliné,"Voici mon inratable recette des ghirbias, ghraybas, ghribas, ghreyba, au beurre et au praliné. C'est ma version revisitée du Ghriba, le traditionnel gâteau marocain.","500 g Farine - 175 g Sucre glace - 125 ml Huile de tournesol - 125 g Beurre fondu - 1 pincée Sel - 2 c à s Praliné noisette - 2 c à s Praliné amande - 7 g Levure chimique - 0,5 c à c Cannelle -  Amande pour décorer",Facile,25 mn,20 mn,1 h 45 mn,https://img-3.journaldesfemmes.fr/315Urw9I1OTc8WaVv73wtNVlmrM=/750x500/340f18587f304c528efeaf96b5ed448b/ccmcms-jdf/39717171.jpg
6,https://cuisine.journaldesfemmes.fr/recette/349218-couscous-vegetarien,Couscous végétarien : la recette facile,"Découvrez cette recette gourmande et savoureuse de couscous végétarien ! Simple, facile à réaliser et économique, cette recette ensoleillée ravira vos papilles !",150 g Haricot vert - 150 g Petit pois - 150 g Carotte nouvelle - 1 Poivron rouge - 4 c à s Huile d'olive - 130 g Maïs en grains - 500 g Semoule - 1 Bouquet de persil -  Sel -  Poivre,Facile,15 mn,25 mn,40 mn,https://img-3.journaldesfemmes.fr/3u7JMU2BuWrb3hinIMKR8QiXNbY=/750x500/5828ffdfcca843a1b78a50602c5c596e/ccmcms-jdf/39886921.jpg
7,https://cuisine.journaldesfemmes.fr/recette/322524-pastilla-au-poulet,Pastilla facile au poulet,"Découvrez ma recette de pastilla au poulet facile à faire grrâce à mes conseils et astuces.
Parfumée et épicée, cette recette marocaine, sucré-salé, est très apprécié de tous pendant les fêtes.",5 escalopes de poulet émincées - 120 g beurre fondu pour badigeonner les feuilles - 4 petits oeufs - 1 gros oignon -  amandes grillées et concassées - 1 dose safran -  coriandre -  persil - 1 c à c cumin - 1/2 c à c gingembre - 1/2 c à c herbes de Provence -  sel poivre -  sucre glace et cannelle poudre pour le décor,Facile,15 mn,20 mn,35 mn,https://img-3.journaldesfemmes.fr/B07mFawcWVO5qeCYUYrYONZLVec=/750x500/9138a178489b457aa3b947012ab9d696/ccmcms-jdf/39911532.jpg
8,https://cuisine.journaldesfemmes.fr/recette/307337-chorba,Chorba : la meilleure recette,"C'est un plat typique au mois du ramadan. Chaque soir la famille se réunit et deguste la chorba, cette soupe pleine de saveurs qui s'accompagne toujours avec des boreks (feuilletés de brick avec fromage, poulet ou boeuf haché, oeufs et coriandre).",1 poulet fermier ou 2 kg de mouton - 6 Tomate - 1/2 c à c piment doux en poudre - 3 ls Eau - 1 gousse Ail - 1 Oignon - 1 bouquet Coriandre - 3 Citron - 250 g Pois chiche -  petites pâtes langue d'oiseau ou boulgour (on les trouve dans les magasins orientaux),Difficile,4 h,3 h 20 mn,10 h 20 mn,https://img-3.journaldesfemmes.fr/ZzHow-_Ds5hccp80pXqyClzO5tA=/750x500/4dc7ddf2eb674b80a10153168cf35fd3/ccmcms-jdf/39813686.jpg
9,https://cuisine.journaldesfemmes.fr/recette/349630-pain-du-ramadan,Pain du Ramadan : la meilleure recette,"Découvrez cette recette de pain du ramadan très léger à la farine, que je fais pour le ftour du ramadan pour accompagner ma soupe, particulièrement la chorba. Toute la famille raffole de ce pain arabe au four. La recette est très facile, je vous la recommande !","250 g Farine - 13 g Beurre - 0,5 c à s Sel - 150 ml Eau -  Lait (pour la dorure) -  Graine de pavot (et autres graines) - 0,5 c à s Levure sèche",Facile,30 mn,20 mn,1 h 50 mn,https://img-3.journaldesfemmes.fr/oHrNou4nGvvFKX4Q4wzHsbDHiBw=/750x500/54310f26c7734e60a77af86931a61761/ccmcms-jdf/39883136.jpg
