,name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
0,Couscan marocain couscous,"  4 cuillères à soupe (1/2 bâton) beurre non salé 3/4 tasse d'échalotes hachées 3 tasses de poulet maison, recette suit ou bouillon en conserve 1/2 cuillère à café de sel casher 1/2 cuillère à café de poivre noir 1 1/2 tasse de couscous 1 /2 tasses de pignoli, noix grillées 1/4 tasse de groseil bouillon de poulet maison: 3 (5 livres) poulets 3 gros oignons, non pelés et cantonnés 6 carottes, non éprouvées et coupées en deux avec des feuil avec des feuil, coupées en tiers 4 parsnips, non pelés et coupés en deuxEn 1/2,  20 brins en option du persil pt à feuil ptes 15 brins de thym frais 20 brins d'aneth frais 1 ail de tête, non époustouflé et coupé en 1/2 croix 2 cuillères à soupe de sel casher 2 cuillères à café entières noires entières noires entières","Faire fondre le beurre dans une grande sauteuse, ajouter les échalotes et cuire 3 minutes à feu moyen.Ajouter le bouillon de poulet, le sel et le poivre, soulever la chaleur à haut et porter le bouillon à ébullition.Hors du feu et ajoutez le couscous.Couvrir la casserole et laisser reposer 10 minutes.Ajouter les noix de Pignoli et les cassis au couscous, remuer et servir.Coulet de poulet fait maison: rendement: 6 litres Placez les poulets, les oignons, les carottes, le céleri, les panais, le persil, le thym, l'établissement, l'ail, le sel et les grains de poivre dans un stock de 16 à 20 quart avec 7 quarts d'eau et apporter à un bouil.Écrasez la surface au besoin.Mijoter à découvert pendant 4 heures.Filtrez tout le contenu de la casserole à travers une collanture, en jetant le poulet et les légumes et se détendre.Jetez la graisse durcie, puis emballez le bouillon dans des conteneurs de litre.",66,13,79,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2018/2/16/0/FN_Ina-Garten-Moroccan-Couscous-H-050_s4x3.jpg.rend.hgtvcom.476.357.suffix/1518807264414.jpeg,https://www.foodnetwork.com/recipes/ina-garten/moroccan-couscous-recipe-2040342
1,Poulet marocain instant,"  8 cuisses de poulet à os et environ 3 livres) sel casher et poivre fraîchement moulu 2 cuillères à soupe d'huile végétale 1 gros oignon, tranché 4 grandes gousses d'ail, brisé 4 carottes, coupées en morceaux de 1 pouce 1 cuillère à café de paprika1 cuillère à café de coriandre moulu 1 cuillère à café de curcuma moulu 1/2 cuillère à café de curcuma moulu 1/2 cuillère à thépruneaux, réduit en deux 1/4 tasse d'abricots séchés, divisé en deux 1/2 tasse de petites olives farouillées de pimiento drainées, plus 1 cuillère à soupe de saumure 1/4 tasse de coriandre fraîche hachée 1/4 tasse de persil frais haché, et plus de fortune 1 cuillère à bnc distillé bnc distillé bnccouscous cuit du vinaigre, pour servir Harissa, pour servir","Assaisonner généreusement les cuisses de poulet avec du sel et du poivre.Réglez un pot instantané pour faire sauter en haut.Lorsque le pot s'inscrit chaud, ajoutez l'huile végétale.Travaillant en deux lots, ajoutez le côté poulet à la peau et faites cuire jusqu'à ce qu'il soit bien doré, environ 10 minutes.Retirer dans une assiette.Ajouter l'oignon, l'ail, les carottes, le paprika, la coriandre, le cumin, le curcuma, le gingembre et le cayenne dans le pot.Cuire en remuant jusqu'à ce que l'oignon s'adoucit, environ 5 minutes.Incorporer la pâte de tomate pour enrober les légumes, en grattant le fond du pot.Incorporer le bâton de cannelle, le citron conservé, les pruneaux et les abricots, puis éteignez le pot.Ajouter 2/3 tasse d'eau et la saumure d'olive dans le pot et bien remuer, grattant le fond du pot.Retournez la peau de poulet dans le pot en une seule couche.Mettre et verrouiller le couvercle;Assurez-vous que la soupape de vapeur est en position d'étanchéité.Placez le pot sur la pression à la pression sur 8 minutes.Lorsque le temps est écoulé, laissez la pression se libérer naturellement pendant 10 minutes, puis tournez soigneusement la soupape de vapeur en position de ventilation pour libérer manuellement la pression restante.Éteignez le pot et retirez le couvercle.Transférer le poulet dans un plateau, laissant le liquide dans le pot;Jeter le bâton de cannelle.Remuer les olives, la coriandre, le persil et le vinaigre dans le pot.Assaisonnez avec du sel et du poivre.Servir le poulet et la sauce sur le couscous;Garnir de plus de persil et servir avec Harissa.",25,0,25,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2019/4/11/0/FNM_050119-Instant-Pot-Moroccan-Chicken_s4x3.jpg.rend.hgtvcom.476.357.suffix/1555007168351.jpeg,https://www.foodnetwork.com/recipes/food-network-kitchen/instant-pot-moroccan-chicken-6551992
2,Soupe de pois chiches épicés marocains," l'huile d'olive extra-virgin 1/4 tasse, plus pour  garniture 1 grand oignon, moyens de 6 à 8 gousses d'ail, pressée 1 cuillère à café de cannelle moulue 1 cuillère à café14,5 onces) CAN tomates hachées 3 (15 onces) canettes pois chiches, puits de puits drainés et rincés 1 quart de bouillon de légumes ou bouillon de poulet à sodium réduit 1 cuillère à caféépinard","Chauffer l'huile d'olive dans une grande casserole à feu moyen-élevé.Ajouter l'oignon et l'ail et faire sauter jusqu'à ce que les oignons commencent à devenir translucides;feu plus bas si le brunissement commence à se produire.Ajouter les épices et faire revenir une minute environ.Ajouter les tomates, les pois chiches, le bouillon et le sucre.Assaisonner avec quelques pincements de sel et 10 broises de poivre frais.Bien mélanger.Les pois chiches doivent être simplement recouverts de liquide.Si le niveau est timide, ajoutez de l'eau pour que les pois chiches soient juste couverts.Porter à mijoter, puis plus bas au feu doux et mijoter doucement pendant 45 minutes.Retirer la soupe du feu.Utilisez un pilon de pomme de terre pour écraser une partie des pois chiches dans le pot.Incorporer les épinards et laisser la chaleur jusqu'à ce qu'il soit flétri, juste quelques minutes.Assaisonner à nouveau, au goût, avec du sel et du poivre.Servir la soupe, arrosée légèrement avec de l'huile d'olive extra vierge, si vous le souhaitez.",56,36,92,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2010/4/2/0/0047496F1_Moroccan-Spiced-Chickpea-Soup_s4x3.jpg.rend.hgtvcom.476.357.suffix/1371591148338.jpeg,https://www.foodnetwork.com/recipes/dave-lieberman/moroccan-spiced-chickpea-soup-recipe-1946192
3,Soupe de boulettes de viande marocaine soupe de boulettes de viande marocaine,"   1 1/2 tasses de coriandre fraîche 1 bouquet d'escaldres, grossièrement haché 1 livre de bœuf haché maigre 1 gros œuf, légèrement battu 2 cuillères à soupe de harissa 1 1/2 cuillère à café4 carottes, coupées en morceaux de 1 pouce 4 tasse de bouillon de poulet à faible sodium 4 tasses bébé épinards 1/2 tasse de couscous de blé entier","Pulse 1 tasse de coriandre avec les oignons verts dans un mini robot alimentaire pour faire une purée grossière.Transférer la moitié du mélange dans un grand bol et ajouter le bœuf haché, l'œuf, 1 cuillère à soupe de harissa, 1/2 cuillère à café de cumin et 1/2 cuillère à café de sel.Mélangez avec vos mains jusqu'à ce qu'il soit juste combiné.Former des boulettes de viande de vingt-1 pouces.Chauffer l'huile d'olive dans une grande casserole à feu moyen.Ajouter les carottes et cuire, en remuant jusqu'à ce qu'ils commencent à brunir, 4 à 5 minutes.Incorporer la purée de coriandre restante, 1 cuillère à soupe de harissa et 1 cuillère à café de cumin;Cuire jusqu'à grésiller, environ 1 minute.Incorporer le bouillon de poulet et 2 tasses d'eau;Porter à l'émiçage et cuire 2 minutes.Déposer doucement dans les boulettes de viande et laisser mijoter jusqu'à ce qu'ils soient presque cuits, 7 à 8 minutes.Ajouter les épinards et le couscous à la soupe et cuire jusqu'à ce que le couscous soit tendre, environ 5 minutes.Incorporer la coriandre 1/2 tasse restante et assaisonner de sel.Saupoudrer de plus de cumin avant de servir.",18,112,130,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2017/5/10/0/FNM_060117-Moroccan-Meatball-Soup-Recipe_s4x3.jpg.rend.hgtvcom.476.357.suffix/1494459082561.jpeg,https://www.foodnetwork.com/recipes/food-network-kitchen/moroccan-meatball-soup-3721438
4,Poulet au citron marocain poulet au citron marocain,"  2 cuillères à soupe d'huile d'olive 4 osseux,  peau de poulet de  peau des moitiés 1 1/4 cuillère à café de sel casher 1 échalote, haché 1 citron conservé, à l'intérieur jeté, peau finement tranchée 1/2 tasse d'olives marinées méngées, à paro 1 /2 tasses de tomates séchées au soleil dans l'huile, drainées et hachées 1 tasse de vin bnc 1 tasse de bouillon de poulet à faible sodium 4 brins d'origan 2 cuillères à soupe de pania","Chauffer l'huile dans une poêle moyenne à côté droit à feu moyen-élevé.Sécher bien les poitrines de poulet et saupoudrer uniformément de sel.Placer les seins côté peau dans la casserole chaude et cuire sans être perturbé jusqu'à brun doré profond, environ 6 minutes.À l'aide de pinces, retournez le poulet au côté de l'os et continuez à cuire encore 5 minutes.Retirer dans une assiette pendant que vous construisez la sauce.Dans la même casserole, ajouter les échalotes et transpirer, en remuant de temps en temps, pendant une minute.Ajouter le citron conservé, les olives et les tomates séchées au soleil et remuer pour combiner.Déglacer avec le vin blanc, grattant les morceaux bruns du fond de la poêle avec une cuillère en bois.Laisser mijoter 3 minutes pour réduire légèrement.Ajouter le bouillon de poulet et remettre à mijoter.Ajouter l'origan et le poulet à la sauce.Verser une partie du liquide sur le poulet.Couvrir la casserole et laisser mijoter doucement jusqu'à ce qu'un thermomètre à lecture instantanée enregistre 160 degrés F, environ 25 minutes.Laisser le poulet reposer dans la sauce pendant 10 minutes.Incorporer le persil.Servir le poulet avec une généreuse aide de la sauce et saupoudré de fleurs de ciboulette si vous utilisez.",108,42,150,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2019/2/22/JE408_Moroccan-Lemon-Chicken_s4x3.jpg.rend.hgtvcom.476.357.suffix/1550857290351.jpeg,https://www.foodnetwork.com/recipes/giada-de-laurentiis/moroccan-lemon-chicken-5622127
5,Tagine d'agneau marocain Tagine d'agneau marocain," toute bonne huile d'olive 6 petits tiges d'agneau françaises (5 à 6 livres au total) 3 tasses d'oignons jaune hachés (2 gros oignons) 3 gousses d'ail, à  cuillère à soupe de gingembre râpé 1 1/2 cuillère à café de poudre de piment 1 1/2 cuillère à caféCurcuma moulu 1 1/2 cuillères à café de cumin moulu 1/2 cuillère à café de cardamome moulu 1 (4 pouces) Cinnamon Stick 1 (28 onces) peut coupé en dés, comme San Marzano 2 tasses de bouillon de poulet, de préférence maison 2 cuillères à soupe., Légèrement emballé 4 (1/2 pouce d'épaisseur) des tranches de sel casher à  chaux et du poivre noir fraîchement moulu 1 livre de pommes de terre en or Yukon, une courge musquée de 1 pouce de 1 pouce, 1 pouce de 1 pouce 1 /Patates douces de 2 livres, couscous de 1 pouce de 1 pouce, pour servir","Préchauffer le four à 300 degrés F. Chauffer 2 cuillères à soupe d'huile d'olive dans un très grand pot (12 à 13 pouces) ou un four hollandais, comme Le Creuset.Pattez les tiges d'agneau avec des serviettes en papier.En lots, ajoutez les courts d'agneau dans le pot et faites cuire à feu moyen pendant 3 minutes de chaque côté, jusqu'à ce qu'ils soient bien dorés.Transférer dans une assiette et faire dorer les tiges restantes, en ajoutant un peu plus d'huile, si nécessaire.Transférer tous les Shanks sur la plaque et réserver.Ajouter les oignons et cuire à feu moyen-doux pendant 5 minutes, en remuant de temps en temps, en ajoutant plus d'huile, si nécessaire.Ajouter l'ail et le gingembre et cuire seulement 30 secondes.Ajouter la poudre de chili, le curcuma, le cumin, la cardamome et la cannelle et cuire une minute.Incorporer les tomates et leur liquide, le bouillon de poulet, la cassonade, la chaux, 1 cuillère à soupe de sel et 1 cuillère à café de poivre.Ajouter les pommes de terre, la courge musquée et les patates douces et porter à ébullition.Placer les tiges d'agneau dans le pot, en cuillère une partie de la sauce et des légumes sur les tiges.(Ils ne seront pas complètement submergés.) Couvrir le pot et cuire pendant 3 heures, jusqu'à ce que les tiges d'agneau soient très tendres.Servir chaud avec du couscous.",90,31,121,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2015/1/15/0/FNM_030115-Moroccan-Lamb-Tagine-Recipe_s4x3.jpg.rend.hgtvcom.476.357.suffix/1421792364193.jpeg,https://www.foodnetwork.com/recipes/ina-garten/moroccan-lamb-tagine-3363647
6,CHOPS DE LAMB MOROCAN,"  6 côtelettes d'agneau longe 1 cuillère à soupe d'huile d'olive extra viergflocons de poivron rouge chaud 1 citron, coincé","Préchauffer la poêle à griller à haut.Badigeonner les côtelettes avec un peu d'huile d'olive.Mélanger le mélange d'épices secs dans un petit récipient, couvrir et secouer pour combiner.Frottez le mélange d'épices dans les côtelettes des deux côtés.Faire griller les côtelettes de 7 à 8 minutes, en tournant une fois, pour les rares moyens, 10 à 12 minutes pour le puits moyen à moyen.Servir avec des quartiers de citron.",1,55,56,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2003/10/16/1/tm1b72_moroccan_lamb_chops1.jpg.rend.hgtvcom.476.357.suffix/1387057231429.jpeg,https://www.foodnetwork.com/recipes/rachael-ray/moroccan-rub-lamb-chops-recipe-1941117
7,Tagine de poulet marocain Tagine de poulet marocain,"  6 gousses de gousses de l'ail, pelées et finement hachées 1 cuillère à café de cumin moulu 1 cuillère à café de gingembre moulu 1/2 cuillère à café de paprika sucré 1 cuillère à soupe de kosher ou sel de mer 1/2 cuillère à café de poivron noir frais 1 grand oignon espagnol, râpé (environ 1 tasse) 2cuole à cuillère à soupe, huile de pépins ou olive (pas une huile d'olive lourde) 1 à 2 citrons conservés, selon  taille 8 des cuisses de poulet, avec des os et de  peau tiègne du persil et de  coriandre, attaché avec du twine 1/4 cuillère à café de safran en poudre ou 1/1 /4 cuillères à café de curcuma en poudre et 4 brins Saffron 1 tasse de coccane marocain vert ou grec à piqûre à piqûre 1/2 tas","Dans un grand bol, mélanger l'ail, le cumin, le gingembre, le paprika, le sel et le poivre, 1/2 tasse d'oignon râpé et l'huile.Rincez les citrons conservés et retirez la pulpe.Réservez la peau de citron pour une utilisation ultérieure.Ajouter la pulpe de citron dans le bol à mélanger.Ajouter le poulet.Mélanger tout et placer dans un grand sac en plastique pour mariner pendant la nuit au réfrigérateur.(Vingt-quatre heures donne vraiment au poulet la meilleure saveur.) Dans un grand four hollandais ou une casserole, placez le poulet et la marinade;Ajouter les tiges du persil et de la coriandre, le reste de l'oignon râpé, le safran en poudre et 1 1/2 tasse d'eau.Porter à ébullition à feu vif, baisser à un mijotage et cuire, partiellement couvert, pendant 30 minutes.Retirer le couvercle, remuer le poulet et continuer à laisser mijoter pendant 15 minutes ou jusqu'à ce que le poulet soit tendre.Retirer le poulet dans un plat de service et couvrir de papier d'aluminium pour garder au chaud.Gardez la sauce sur le poêle et commencez à réduire.Trancher le citron préservé Peler en fines tranches et ajouter à la sauce avec les olives, le persil et la coriandre.Réduisez jusqu'à ce que la sauce soit juste un peu épaisse.Cela ne devrait pas prendre plus de 5 minutes au plus.Découvrez le poulet et retirez la peau du poulet.(Il n'a pas l'air joli et qui a besoin de la graisse supplémentaire.) Versez la sauce sur le poulet et servez.",81,21,102,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2012/5/21/0/BX0304H_Moroccan-Chicken-Tajine_s4x3.jpg.rend.hgtvcom.476.357.suffix/1371606962388.jpeg,https://www.foodnetwork.com/recipes/ina-garten/moroccan-chicken-tajine-recipe-2012524
8,Kabobs d'agneau marocain kabobs d'agneau marocain,"   1 cuillères à café de gamin cannelle 1 cuillère à café de coriandre moulue 1 cuillère à café de sel 1/2 cuillère à café de poivron noir fraîchement moulu 1/2 cuillère à café de cumin au sol 1/2 cuillère à caféSauce, recette suit  sauce au yogourt de  menthe-pat-patarsley: 1 tasse de yaourt nature (2% ou entier est le meilleur) 1 cuillère à soupe de mayonnaise 2 cuillères à soupe de jus de citron fraîchement pressé 2 gousses d'ail, de sel pressé et de poivron noir fraîchement moulu 2 cuillères à soupe hachées Feuil de menthe fraîches Feuil 2 cuillères à soupefeuil de parlsey à feuil ptes hachées","Mélanger toutes les épices et les assaisonnements dans un petit bol.Placer les cubes d'agneau dans un plat de cuisson peu profond ou un grand bol.Frottez le mélange d'épices en agneau avec des mains.Fixez des cubes d'agneau sur des brochettes, environ 3 par brochette.Préchauffer un gril ou une poêle à feu vif.Faire griller des kabobs pendant 3 minutes de chaque côté, ou jusqu'à la cuisson à la cuisson souhaitée.Transférer dans un plateau de service et servir avec une sauce au yaourt à la menthe-pat-parsley pour tremper.Sauce au yaourt à la menthe-pat-parsley: Remuez le yaourt, la mayonnaise, le jus de citron et l'ail dans un bol moyen.Assaisonnez avec du sel et du poivre selon votre goût.Ajouter les herbes fraîches hachées et remuer doucement pour combiner.Couvrir et mettre au réfrigérateur jusqu'au moment de servir.Rendement: environ 1 1/4 tasse",12,96,108,on est entrain de generer l image de cette recette ...,https://www.foodnetwork.com/recipes/dave-lieberman/moroccan-lamb-kabobs-recipe-2103543
9,Saumon grillé marocain saumon grillé marocain," tous  1/2 tasse de jus de yogourt nature de 1 citron, plus des quartiers de citron pour garniture 1 cuillère à soupe d'huile d'olive extra-virgin, plus plus pour  grille 2 à 3 clous de girofle, brisé 1 1/2 cuillère à café de coriandre 1 1/2 cuillère à caféCumin moulu sel casher Sel et poivron fraîchement moulu 4 6 onces Fipets de saumon de coupe centrale sans peau 1/4 tasse de coriandre ou de persil frais haché, pour garniture","Incorporer le yaourt, le jus de citron, l'huile d'olive, l'ail, la coriandre, le cumin, 1/4 cuillère à café de sel et le poivre au goût dans un petit bol.Versez la moitié de la sauce dans un grand sac en plastique refermable;Couvrir et réfrigérer la sauce restante.Ajouter le saumon dans le sac et tourner pour enrober la marinade.Réfrigérer pendant 20 à 30 minutes, en retournant le sac une fois.Préchauffer un gril à moyen-élevé.Retirer le saumon de la marinade et effacer l'excès de yaourt avec des serviettes en papier.Huiler légèrement le gril et ajouter le saumon;Cuire en tournant une fois, jusqu'à ce qu'il soit doré à l'extérieur et opaque au centre, 4 à 6 minutes de chaque côté, selon l'épaisseur.Servir avec la sauce au yaourt réservée et garnir d'herbes et de quartiers de citron.",102,41,143,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2009/4/14/2/FNM060109WN027_s4x3.jpg.rend.hgtvcom.476.357.suffix/1382538934870.jpeg,https://www.foodnetwork.com/recipes/food-network-kitchen/moroccan-grilled-salmon-recipe-1972820
