name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
Zaalouk Dip ,"2 large aubergines (600g)  - 4 medium tomatoes (320g), seeded and chopped - 3 tablespoons olive oil - 3 garlic cloves, minced or pressed  - 2 teaspoons paprika  - 2 teaspoons ground cumin - 1 teaspoon salt  - ¼ teaspoon caster sugar ","• Remove 3 vertical strips of skin from each aubergine. Discard the vertical strips and cut the aubergines in large cubes. • Heat the olive oil in a large pan and add the aubergines, tomatoes, garlic, paprika, cumin, salt and sugar. Cover over medium-low heat until the vegetables are soft, about 25 to 35 minutes. Stir occasionally to make sure the vegetables don’t stick to the pan. ",15,30,45,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/3a66da93-bb56-418c-9f31-c8a7d64d8534/zaalouk+dip.jpg,https://www.mymoroccanfood.com/home/2022/10/17/zaalouk-dip
Peach and tomato salad with orange blossom and honey dressing,"3 peaches, segmented  - 150g cherry tomatoes (or chopped vine tomatoes), halved - 80g rocket salad leaves  - 100g crumbled feta (or any other soft cheese) - Chopped hazelnuts (or any type of nuts)","• In a large mixing bowl, add all the dressing ingredients together and stir until smooth.",15,38,53,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/0ef47bc7-7588-44aa-b30c-ac09ab8c43e9/Peach+and+tomato+salad+with+orange+blossom+and+honey+dressing,https://www.mymoroccanfood.com/home/peach-and-tomato-salad-with-orange-blossom-and-honey-dressing
Kefta meatballs and tomato sauce tagine with jalapeño & herb yoghurt sauce ,"2 tablespoons olive oil - 2 garlic cloves, crushed or finely chopped  - 1 can peeled tomatoes (400gr/14 oz.)  - 10g flat leaf parsley, finely chopped  - 10g coriander, finely chopped   - 1 teaspoon ground cumin  - 1 teaspoon paprika - ½ teaspoon salt or more to taste - ½ teaspoon sugar - ¼ teaspoon ground black pepper  ",Lightly pickled onions ,20,60,80,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1631711049864-QW4RSYM9D9OSPLJ3Q3L3/KEFTA+AND+TOMATO+TAGINE.jpg,https://www.mymoroccanfood.com/home/kefta-meatballs-and-tomato-tagine
Sesame seeds gazelle horns with rainbow sprinkles,"150g sesame seeds - 250g ground almond  - 120g caster sugar - 2 tablespoons orange blossom water  - 40g unsalted butter, softened - ¼ teaspoon salt -  ¼ pinch of ground cinnamon - 2 tablespoons rainbow sugar sprinkles  - 2 egg whites"," • Preheat the oven to 200°C (180°C fan), Gas Mark 6. Spread the sesame seeds out on a baking tray and roast for 7–10 minutes or until golden, stirring halfway through to make sure that they roast evenly. Remove from the oven, tip the sesame seeds into a shallow bowl and leave to cool. Leave the oven on at the same temperature. ",15,22,37,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1620821417545-KPDF6ZTIF4SA0XWVQSYE/IMG_7767%2B3.jpg,https://www.mymoroccanfood.com/home/sesame-seeds-gazelle-horns-with-rainbow-sprinkles
Moroccan spiced fish fillets and bell peppers in tomato sauce ,"2 tablespoons olive oil             - 1 large onions, sliced   - 1 can chopped tomatoes         - 60ml vegetable stock or water  - 1 green bell pepper, cored, deseeded and sliced into strips - 1 red bell pepper, cored, deseeded and sliced into strips      - 1 small carrot, peeled and sliced         - 60g celery, finely chopped      - 10g finely chopped fresh coriander and more to serve  - 1 ½ teaspoon paprika - 1 teaspoon ground cumin - ½ teaspoon ground ginger - ½ teaspoon salt - ½ teaspoon caster sugar          - ¼ teaspoon ground black pepper  - 4 sea bream fillets       - 50g crumbled feta cheese"," • Heat the olive oil in a large saucepan over a medium-low heat. Add the onion slices, cover the pan and leave to cook for about 10 minutes or until they are soft and translucent, stirring occasionally.",10,23,33,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1611246094007-WJF7QI8K0FG8EZYAI6F5/6.jpg,https://www.mymoroccanfood.com/home/moroccan-spiced-fish-fillets-and-bell-peppers-in-tomato-sauce
Baghrir pancakes with brown butter spiced apples ,125g of fine semolina - 20g plain flour  - 1 tablespoon caster sugar - ½ heaped teaspoon active dry yeast - ¼ teaspoon salt - 250ml warm water   - 1 teaspoon baking powder,"• In a blender insert the semolina, flour, sugar, yeast and salt. Add the warm water and blend until there are no lumps and the batter is smooth.   If you don’t have a blender place all the ingredients in a large bowl and use an electric whisk instead of a blender.",15,20,35,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1605979333689-VS37Y498SEEZWBV8UFJ9/apple%2Bbaghrir_-7.jpg,https://www.mymoroccanfood.com/home/baghrir-pancakes-with-brown-butter-spiced-apples
Ras El Hanout and chocolate chunk pumpkin bread,"260g plain flour - 1 1/2 teaspoons baking powder - 1/2 teaspoon baking soda - 2 teaspoon ras el hanout - 1 teaspoon salt - 180g brown sugar  - 2 large eggs  - 120g butter, melted and more for buttering the pan - 60ml black tea (black tea bag soaked in hot water) -  2 teaspoons vanilla extract - 320g pumpkin puree - 140g dark chocolate chunks or chips",Ras el hanout sugar (optional),34,34,68,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1603460480336-TIWM8IWE5ZDGW539VBI5/IMG_3733.jpg,https://www.mymoroccanfood.com/home/ras-el-hanout-and-chocolate-chunk-pumpkin-bread
Sweet Chermoula Whole Roasted Cauliflower,"5 tablespoons olive oil - 4 tablespoons clear honey - 3 garlic cloves, peeled and crushed - 3 tablespoons lemon juice - 30g fresh coriander, finely chopped - 3 teaspoons paprika - 2 teaspoons ground cumin - 1 ¼ teaspoons salt, or more to taste - 1 medium sized whole cauliflower (roughly 600gr)  - Flaked almonds for garnish, if desired  - Lettuce leaves to serve, if desired ", • Preheat the oven to 200°C (180°C fan) and stir all the ingredients for the sweet chermoula together in a bowl until smooth. Alternatively you can place all the ingredients in a food processor. ,15,20,35,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1558017183427-KR7E390DNAW3BYO3ZQQC/Sweet+chermoula+whole+roasted+cauliflower+-6.jpg,https://www.mymoroccanfood.com/home/sweet-chermoula-whole-roasted-cauliflower
Rfissa Express – Fragrant chicken and lentils with papardelle,"4 tablespoons olive oil - 4 large chicken legs - 3 large onions, sliced  - 20g fresh coriander, finely chopped and more for garnish, if desired  - 3 garlic cloves, peeled and crushed - 1 teaspoon ground turmeric - 1 teaspoon ground ginger - 1 teaspoon ras el hanout - ¾ teaspoon salt, or more to taste - ¼ teaspoon ground black pepper - 1 pinch saffron threads  - 200ml vegetable or chicken stock - 1 x 400g can green lentils, drained  - 500g papardelle, cooked according the packaging "," • Heat 2 tablespoons of the olive oil in a large saucepan over a medium-high heat. Add the chicken legs (in batches if necessary), skin-side down, and sear for about 5 minutes until golden brown. Make sure that the oil is very hot before adding the chicken – you should hear a sizzle when the skin touches the pan, otherwise it isn’t hot enough. The skin will be released naturally from the chicken flesh once seared, so don’t be tempted to remove it beforehand. Transfer the seared chicken to a dish and set aside until you are ready to use it. ",30,60,90,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1551962083552-MS4MD9H9TX0VQQAGS215/Rfissa+Express+-6.jpg,https://www.mymoroccanfood.com/home/rfissa-express-fragrant-chicken-and-lentils-with-papardelle
Crispy Harissa Chickpea Caesar Salad ,500g drained chickpeas - 2 tablespoons olive oil - 2 tablespoons harissa ,"• Preheat the oven to 180 C and line a roasting tray with baking paper. Rinse and drain the chickpeas thoroughly and use a tea towel to pat them dry. Transfer the chickpeas, olive oil and harissa in a large mixing bowl. Use your hands to cover all the chickpeas with the harissa and transfer in the lined baking tray. Roast for 35 to 40 minutes giving the chickpeas a good stir every now and then until they are baked and crisp. ",22,36,58,https://images.squarespace-cdn.com/content/v1/54d4153ce4b00c0e483c13a6/1547650926044-1EZ03Y29B8CFU22SV3UE/Crispy+harissa+chickpea+ceasar+salad+-1-2.jpg,https://www.mymoroccanfood.com/home/crispy-harissa-chickpea-ceasar-salad
