,name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
0, Moroccan Couscous Moroccan Couscous ,"Deselect All 4 tablespoons (1/2 stick) unsalted butter 3/4 cup chopped shallots 3 cups Homemade Chicken Stock, recipe follows, or canned broth 1/2 teaspoon kosher salt 1/2 teaspoon black pepper 1 1/2 cups couscous 1/2 cup pignoli nuts, toasted 1/4 cup currants Homemade Chicken Stock: 3 (5-pound) chickens 3 large onions, unpeeled and quartered 6 carrots, unpeeled and halved 4 celery stalks with leaves, cut in thirds 4 parsnips, unpeeled and cut in 1/2, optional 20 sprigs fresh flat-leaf parsley 15 sprigs fresh thyme 20 sprigs fresh dill 1 head garlic, unpeeled and cut in 1/2 crosswise 2 tablespoons kosher salt 2 teaspoons whole black peppercorns","Melt the butter in a large saute pan, add the shallots and cook for 3 minutes over medium heat. Add the chicken stock, salt and pepper, raise the heat to high and bring the stock to a boil. Off the heat and add the couscous. Cover the pan and let it sit for 10 minutes. Add the pignoli nuts and currants to the couscous, stir and serve. Homemade Chicken Stock: Yield: 6 quarts Place the chickens, onions, carrots, celery, parsnips, parsley, thyme, dill, garlic, salt, and peppercorns in a 16 to 20-quart stockpot with 7 quarts of water and bring to a boil. Skim the surface as needed. Simmer uncovered for 4 hours. Strain the entire contents of the pot through a colander, discarding the chicken and vegetables, and chill. Discard the hardened fat, and then pack the broth in quart containers.",66,13,79,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2018/2/16/0/FN_Ina-Garten-Moroccan-Couscous-H-050_s4x3.jpg.rend.hgtvcom.476.357.suffix/1518807264414.jpeg,https://www.foodnetwork.com/recipes/ina-garten/moroccan-couscous-recipe-2040342
1, Instant Pot Moroccan Chicken Instant Pot Moroccan Chicken ,"Deselect All 8 skin-on, bone-in chicken thighs (about 3 pounds) Kosher salt and freshly ground pepper 2 tablespoons vegetable oil 1 large onion, sliced 4 large cloves garlic, smashed 4 carrots, cut into 1-inch chunks 1 teaspoon paprika 1 teaspoon ground coriander 1 teaspoon ground cumin 1/2 teaspoon ground turmeric 1/2 teaspoon ground ginger 1/4 teaspoon cayenne pepper 1 tablespoon tomato paste 1 cinnamon stick 1/4 preserved lemon, roughly chopped (seeds discarded) 1/4 cup pitted prunes, halved 1/4 cup dried apricots, halved 1/2 cup drained jarred small pimiento-stuffed olives, plus 1 tablespoon brine 1/4 cup chopped fresh cilantro 1/4 cup chopped fresh parsley, plus more for topping 1 teaspoon distilled white vinegar Cooked couscous, for serving Harissa, for serving","Season the chicken thighs generously with salt and pepper. Set an Instant Pot to sauté on high. When the pot registers hot, add the vegetable oil. Working in two batches, add the chicken skin-side down and cook until well browned, about 10 minutes. Remove to a plate. Add the onion, garlic, carrots, paprika, coriander, cumin, turmeric, ginger and cayenne to the pot. Cook, stirring, until the onion softens, about 5 minutes. Stir in the tomato paste to coat the vegetables, scraping up the bottom of the pot. Stir in the cinnamon stick, preserved lemon, prunes and apricots, then turn off the pot. Add 2/3 cup water and the olive brine to the pot and stir well, scraping up the bottom of the pot. Return the chicken skin-side up to the pot in a single layer. Put on and lock the lid; make sure the steam valve is in the sealing position. Set the pot to pressure-cook on high for 8 minutes. When the time is up, let the pressure release naturally for 10 minutes, then carefully turn the steam valve to the venting position to manually release the remaining pressure. Turn off the pot and remove the lid. Transfer the chicken to a platter, leaving the liquid in the pot; discard the cinnamon stick. Stir the olives, cilantro, parsley and vinegar into the pot. Season with salt and pepper. Serve the chicken and sauce over couscous; top with more parsley and serve with harissa.",25,0,25,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2019/4/11/0/FNM_050119-Instant-Pot-Moroccan-Chicken_s4x3.jpg.rend.hgtvcom.476.357.suffix/1555007168351.jpeg,https://www.foodnetwork.com/recipes/food-network-kitchen/instant-pot-moroccan-chicken-6551992
2, Moroccan Spiced Chickpea Soup Moroccan Spiced Chickpea Soup ,"Deselect All 1/4 cup extra-virgin olive oil, plus more for garnish 1 large onion, medium diced 6 to 8 cloves garlic, pressed 1 teaspoon ground cinnamon 1 teaspoon ground cumin 1/8 teaspoon cayenne pepper 1 heaping teaspoon sweet paprika 1 (14.5-ounce) can chopped tomatoes 3 (15-ounce) cans chickpeas, drained and rinsed well 1 quart vegetable broth or reduced-sodium chicken broth 1 teaspoon sugar Kosher salt Freshly ground black pepper 1 (5-ounce) package pre-washed baby spinach","Heat olive oil in a large pot over medium-high heat. Add onion and garlic and saute until the onions begin to turn translucent; lower heat if browning starts to occur. Add spices and saute a minute or so. Add tomatoes, chickpeas, broth, and sugar. Season with a couple pinches of salt and 10 grinds fresh pepper. Stir well. Chickpeas should be just covered with liquid. If level is shy, add some water so the chickpeas are just covered. Bring to a simmer, then lower heat to low and gently simmer for 45 minutes. Remove soup from heat. Use a potato masher to mash up some of the chickpeas right in the pot. Stir in the spinach and let heat through until wilted, just a couple minutes. Season again, to taste, with salt and pepper. Serve soup, drizzled lightly with extra-virgin olive oil, if desired.",56,36,92,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2010/4/2/0/0047496F1_Moroccan-Spiced-Chickpea-Soup_s4x3.jpg.rend.hgtvcom.476.357.suffix/1371591148338.jpeg,https://www.foodnetwork.com/recipes/dave-lieberman/moroccan-spiced-chickpea-soup-recipe-1946192
3, Moroccan Meatball Soup Moroccan Meatball Soup ,"Deselect All 1 1/2 cups fresh cilantro 1 bunch scallions, roughly chopped 1 pound lean ground beef 1 large egg, lightly beaten 2 tablespoons harissa 1 1/2 teaspoons ground cumin, plus more for topping Kosher salt 1 tablespoon extra-virgin olive oil 4 carrots, cut into 1-inch pieces 4 cups low-sodium chicken broth 4 cups baby spinach 1/2 cup whole-wheat couscous","Pulse 1 cup cilantro with the scallions in a mini food processor to make a coarse puree. Transfer half of the mixture to a large bowl and add the ground beef, egg, 1 tablespoon harissa, 1/2 teaspoon cumin and 1/2 teaspoon salt. Mix with your hands until just combined. Form into twenty 1-inch meatballs. Heat the olive oil in a large pot over medium heat. Add the carrots and cook, stirring, until they start browning, 4 to 5 minutes. Stir in the remaining cilantro puree, 1 tablespoon harissa and 1 teaspoon cumin; cook until sizzling, about 1 minute. Stir in the chicken broth and 2 cups water; bring to a simmer and cook 2 minutes. Gently drop in the meatballs and simmer until almost cooked through, 7 to 8 minutes. Add the spinach and couscous to the soup and cook until the couscous is tender, about 5 minutes. Stir in the remaining 1/2 cup cilantro and season with salt. Sprinkle with more cumin before serving.",18,112,130,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2017/5/10/0/FNM_060117-Moroccan-Meatball-Soup-Recipe_s4x3.jpg.rend.hgtvcom.476.357.suffix/1494459082561.jpeg,https://www.foodnetwork.com/recipes/food-network-kitchen/moroccan-meatball-soup-3721438
4, Moroccan Lemon Chicken Moroccan Lemon Chicken ,"Deselect All 2 tablespoons olive oil 4 bone-in, skin-on chicken breast halves  1 1/4 teaspoons kosher salt 1 shallot, chopped  1 preserved lemon, inside discarded, skin thinly sliced 1/2 cup pitted mixed marinated olives, halved  1/2 cup sun-dried tomatoes in oil, drained and chopped  1 cup white wine  1 cup low-sodium chicken broth  4 sprigs oregano  2 tablespoons chopped Italian parsley  Chive blossoms, for garnish, optional","Heat the oil a medium straight-sided skillet over medium-high heat. Dry the chicken breasts well and sprinkle evenly with the salt. Place the breasts skin-side down in the hot pan and cook undisturbed until deep golden brown, about 6 minutes. Using tongs, flip the chicken to the bone side and continue to cook for another 5 minutes. Remove to a plate while you build the sauce. In the same pan, add the shallots and sweat, stirring occasionally, for a minute. Add the preserved lemon, olives and sun-dried tomatoes and stir to combine. Deglaze with the white wine, scraping up the brown bits from the bottom of the pan with a wooden spoon. Simmer for 3 minutes to reduce slightly. Add the chicken broth and return to a simmer. Add the oregano and the chicken back to the sauce. Spoon some of the liquid over the chicken. Cover the pan and simmer gently until an instant-read thermometer registers 160 degrees F, about 25 minutes. Allow the chicken to rest in the sauce for 10 minutes. Stir in the parsley. Serve the chicken with a generous helping of the sauce and sprinkled with chive blossoms if using.",108,42,150,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2019/2/22/JE408_Moroccan-Lemon-Chicken_s4x3.jpg.rend.hgtvcom.476.357.suffix/1550857290351.jpeg,https://www.foodnetwork.com/recipes/giada-de-laurentiis/moroccan-lemon-chicken-5622127
5, Moroccan Lamb Tagine Moroccan Lamb Tagine ,"Deselect All Good olive oil 6 small frenched lamb shanks (5 to 6 pounds total) 3 cups chopped yellow onions (2 large onions) 3 garlic cloves, thinly sliced 1 tablespoon grated fresh ginger 1 1/2 teaspoons chili powder 1 1/2 teaspoons ground turmeric 1 1/2 teaspoons ground cumin 1/2 teaspoon ground cardamom 1 (4-inch) cinnamon stick 1 (28-ounce) can diced tomatoes, such as San Marzano 2 cups good chicken stock, preferably homemade 2 tablespoons light brown sugar, lightly packed 4 (1/2-inch-thick) slices of lime Kosher salt and freshly ground black pepper 1 pound Yukon Gold potatoes, unpeeled and 1-inch-diced 1 pound butternut squash, peeled and 1-inch-diced 1/2 pound sweet potatoes, unpeeled and 1-inch-diced Couscous, for serving","Preheat the oven to 300 degrees F. Heat 2 tablespoons of olive oil in a very large (12-to-13-inch) pot or Dutch oven, such as Le Creuset. Pat the lamb shanks dry with paper towels. In batches, add the lamb shanks to the pot and cook over medium heat for 3 minutes on each side, until they are nicely browned. Transfer to a plate and brown the remaining shanks, adding a little more oil, if necessary. Transfer all the shanks to the plate and set aside. Add the onions and cook over medium-low heat for 5 minutes, stirring occasionally, adding more oil, if necessary. Add the garlic and ginger and cook for just 30 seconds. Add the chili powder, turmeric, cumin, cardamom and cinnamon and cook for one minute. Stir in the tomatoes and their liquid, the chicken stock, brown sugar, lime, 1 tablespoon salt and 1 teaspoon pepper. Add the potatoes, butternut squash and sweet potatoes and bring to a boil. Place the lamb shanks in the pot, spooning some of the sauce and vegetables over the shanks. (They will not be completely submerged.) Cover the pot and bake for 3 hours, until the lamb shanks are very tender. Serve hot with couscous.",90,31,121,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2015/1/15/0/FNM_030115-Moroccan-Lamb-Tagine-Recipe_s4x3.jpg.rend.hgtvcom.476.357.suffix/1421792364193.jpeg,https://www.foodnetwork.com/recipes/ina-garten/moroccan-lamb-tagine-3363647
6, Moroccan Rub Lamb Chops Moroccan Rub Lamb Chops ,"Deselect All 6 loin lamb chops 1 tablespoon extra-virgin olive oil 1 tablespoon ground cumin, a palm full 2 teaspoons ground turmeric, eyeball it 1 teaspoon sweet paprika, 1/3 palm full 1 teaspoon coriander seeds 1 teaspoon garlic salt 1/2 teaspoon hot red pepper flakes 1 lemon, wedged","Preheat grill pan to high. Brush chops with a little olive oil. Combine dry spice blend in a small container, cover and shake to combine. Rub spice blend into the chops on both sides. Grill chops 7 to 8 minutes, turning once, for medium rare, 10 to 12 minutes for medium to medium well. Serve with wedges of lemon.",1,55,56,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2003/10/16/1/tm1b72_moroccan_lamb_chops1.jpg.rend.hgtvcom.476.357.suffix/1387057231429.jpeg,https://www.foodnetwork.com/recipes/rachael-ray/moroccan-rub-lamb-chops-recipe-1941117
7, Moroccan Chicken Tajine Moroccan Chicken Tajine ,"Deselect All 6 cloves garlic, peeled and finely chopped 1 teaspoon ground cumin 1 teaspoon ground ginger 1/2 teaspoon sweet paprika 1 tablespoon kosher or sea salt 1/2 teaspoon freshly ground black pepper 1 large Spanish onion, grated (about 1 cup) 2 tablespoons canola, grapeseed or olive oil (not a heavy olive oil) 1 to 2 preserved lemons, depending on size 8 chicken thighs, with bone and skin Stems from the parsley and cilantro, tied with twine 1/4 teaspoon powdered saffron or 1/4 teaspoon powdered turmeric and 4 strands saffron 1 cup pitted green Moroccan or Greek olives 1/2 bunch Italian parsley, about 1/4 cup chopped 1/2 bunch cilantro, about 1/4 cup chopped","In a large bowl, mix the garlic, cumin, ginger, paprika, salt and pepper, 1/2 cup grated onion, and the oil. Rinse the preserved lemons, and remove the pulp. RESERVE the lemon peel for later use. Add the lemon pulp to the mixing bowl. Add the chicken. Mix everything together and place in a large plastic bag to marinate overnight in the refrigerator. (Twenty-four hours really gives the chicken the best flavor.) In a large Dutch oven or casserole, place the chicken and marinade; add the stems of the parsley and cilantro, the rest of the grated onion, the powdered saffron and 1 1/2 cups water. Bring to a boil over high heat, turn down to a simmer and cook, partially covered, for 30 minutes. Remove the cover, stir the chicken and continue to simmer for another 15 minutes or until the chicken is tender. Remove the chicken to a serving dish and cover with foil to keep warm. Keep sauce on stove and begin to reduce. Slice the preserved lemon peel into thin slices and add to the sauce along with the olives, parsley and cilantro. Reduce until the sauce is just a little thick. This shouldn't take more than 5 minutes at most. Uncover the chicken and remove the skin from the chicken. (It doesn't look pretty and who needs the extra fat.) Pour sauce over chicken and serve.",81,21,102,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2012/5/21/0/BX0304H_Moroccan-Chicken-Tajine_s4x3.jpg.rend.hgtvcom.476.357.suffix/1371606962388.jpeg,https://www.foodnetwork.com/recipes/ina-garten/moroccan-chicken-tajine-recipe-2012524
8, Moroccan Lamb Kabobs Moroccan Lamb Kabobs ,"Deselect All 1 teaspoon ground cinnamon 1 teaspoon ground coriander 1 teaspoon salt 1/2 teaspoon freshly ground black pepper 1/2 teaspoon ground cumin 1/2 teaspoon ground nutmeg 3 pounds boneless leg of lamb, cut into 1-inch cubes Mint-Parsley Yogurt Sauce, recipe follows Mint-Parsley Yogurt Sauce: 1 cup plain yogurt (2 percent or whole is best) 1 tablespoon mayonnaise 2 tablespoons freshly squeezed lemon juice 2 cloves garlic, pressed Salt and freshly ground black pepper 2 tablespoons chopped fresh mint leaves 2 tablespoons chopped fresh flat-leaf parlsey leaves","Combine all spices and seasonings in a small bowl. Place lamb cubes in a shallow baking dish or large bowl. Rub spice mixture into lamb with hands. Thread lamb cubes onto skewers, about 3 per skewer.  Preheat a grill or grill pan to high heat. Grill kabobs for 3 minutes per side, or until cooked to desired doneness. Transfer to a serving platter and serve with Mint-Parsley Yogurt Sauce for dipping. Mint-Parsley Yogurt Sauce: Stir together the yogurt, mayonnaise, lemon juice, and garlic in a medium bowl. Season with salt and pepper, to taste. Add the chopped fresh herbs and gently stir to combine. Cover and refrigerate until ready to serve.  Yield: about 1 1/4 cups",12,96,108,,https://www.foodnetwork.com/recipes/dave-lieberman/moroccan-lamb-kabobs-recipe-2103543
9, Moroccan Grilled Salmon Moroccan Grilled Salmon ,"Deselect All 1/2 cup plain yogurt Juice of 1 lemon, plus lemon wedges for garnish 1 tablespoon extra-virgin olive oil, plus more for the grill 2 to 3 cloves garlic, smashed 1 1/2 teaspoons ground coriander 1 1/2 teaspoons ground cumin Kosher salt and freshly ground pepper 4 6-ounce skinless center-cut salmon fillets 1/4 cup chopped fresh cilantro or parsley, for garnish","Stir together the yogurt, lemon juice, olive oil, garlic, coriander, cumin, 1/4 teaspoon salt, and pepper to taste in a small bowl. Pour half of the sauce into a large resealable plastic bag; cover and refrigerate the remaining sauce. Add the salmon to the bag and turn to coat with the marinade. Refrigerate for 20 to 30 minutes, turning the bag over once. Preheat a grill to medium-high. Remove the salmon from the marinade and blot off excess yogurt with paper towels. Lightly oil the grill and add the salmon; cook, turning once, until browned on the outside and opaque in the center, 4 to 6 minutes per side, depending on the thickness. Serve with the reserved yogurt sauce and garnish with the herbs and lemon wedges.",102,41,143,http:////food.fnr.sndimg.com/content/dam/images/food/fullset/2009/4/14/2/FNM060109WN027_s4x3.jpg.rend.hgtvcom.476.357.suffix/1382538934870.jpeg,https://www.foodnetwork.com/recipes/food-network-kitchen/moroccan-grilled-salmon-recipe-1972820
