name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
Soupe Harira marocaine,"« 2 cuilleres a soupe d'huile d'olive extra vierge », « et plus pour la garniture 12 onces d'epaule d'agneau desossee », « coupee en morceaux de 1/2 pouce (facultatif) 1 gros oignon jaune », « coupe en des 1 cuillere a cafe de sel casher », « divise ', 'ou au gout 1 ½ cuilleres a cafe de paprika fume 1 cuillere a cafe de coriandre moulue 1 cuillere a cafe de cumin moulu ½ cuillere a cafe de gingembre moulu ½ cuillere a cafe de poivre noir fraichement moulu ¼ cuillere a cafe de cannelle moulue 4 gousses d'ail', 'emince 1 cuillere a soupe de concentre de tomate 4 tasses de bouillon de poulet 1 ( 15 onces) boite de tomates concassees 2 cotes de celeri avec feuilles', 'hachees 2 tasses d'eau', 'ou au gout 1 (15 onces) boite de pois chiches', 'egouttees ¾ tasse de lentilles vertes', 'rincees 1 cuillere a soupe de farine tout usage 2 a soupe d'eau froide ½ tasse de coriandre fraiche hachee', 'divisee ½ tasse de persil frais hache', 'divisee ½ tasse de vermicelles', 'casse en morceaux de 1/2 pouce ⅛ cuillere a cafe de poivre de Cayenne 1 citron', 'jus'","rassembler tous les ingredients. Nelly Cuanalo Faites chauffer l'huile d'olive dans une marmite a feu moyen-vif et faites cuire l'agneau en cubes jusqu'a ce qu'il soit bien dore et qu'une partie de la graisse soit fondue, environ 5 minutes. Nelly Cuanalo, ajoutez l'oignon coupe en des et une genereuse pincee de sel. cuire, en remuant souvent, jusqu'a ce que l'oignon soit tendre et legerement dore, 4 a 5 minutes. assaisonner avec du paprika fume, de la coriandre, du cumin, du gingembre moulu, du poivre noir et de la cannelle. ajouter l'ail emince et cuire en remuant jusqu'a ce qu'il soit parfume, 30 secondes a 1 minute. Nelly Cuanalo ajoute la pate de tomate et laisse cuire en remuant pendant environ 1 minute. Nelly Cuanalo ajoute le bouillon de poulet, les tomates concassees et le celeri ; remuer jusqu'a ce que le tout soit bien melange. ajouter de l'eau et porter a ebullition a feu vif. /nelly cuanalo une fois la soupe bouillante, ajouter les pois chiches et les lentilles vertes; assaisonner avec du sel au gout. reduire le feu a moyen-doux et laisser mijoter pendant 30 minutes en remuant de temps en temps. Nelly Cuanalo melange la farine et 2 cuilleres a soupe d'eau froide dans un petit bol et verse le bouillon dans la soupe pour epaissir. Toutes les recettes / Nelly Cuanalo ramenent a ebullition et ajoutent la moitie de la coriandre et la moitie du persil ; remuer pour combiner. / nelly cuanalo laisser mijoter a feu moyen-doux jusqu'a ce que la viande et les lentilles soient parfaitement tendres et que la soupe ait epaissi, environ 20 minutes supplementaires. nelly cuanalo incorporer les vermicelles et cuire jusqu'a tendrete, 10 a 15 minutes. gouter et rectifier l’assaisonnement avec du poivre de Cayenne et du sel. ajoutez le reste de la coriandre et du persil haches et terminez en versant un filet de jus de citron au gout dans la soupe. nelly cuanalo servir immediatement avec un filet d'huile d'olive.",103,12,115,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2017%2F05%2Fharira-2-moroccan-soup-picturepartners-bigstock.jpg&f =1&nofb=1&ipt=357c4dda4e3547a7d7b9c9243b1a9eb2fc750bceab3e10203fafcfc797870991&ipo=images,https://www.allrecipes.com/recipe/8479335/moroccan-harira-soup/
Ragout de boeuf epice aux epices marocaines,"'1 livre de viande de ragout de boeuf', 'coupe en morceaux de 2 pouces 1 cuillere a soupe de ras el hanout', 'ou plus au gout 2 cuilleres a soupe d'huile d'olive 1 poireau', 'coupe en deux dans le sens de la longueur et tranche finement sur la largeur 1 petit oignon', 'coupe en 2 gousses d'ail tranchees en deux et finement, '1 tomate hachee', 'en des 1 tasse de citrouille en des 2 cuilleres a soupe de concentre de tomate', 'ou plus au gout 1 tasse de vin rose 2 tasses de bouillon de boeuf 2 brins de romarin frais 1 brin de menthe fraiche 1 laurier sel en feuilles et poivre noir moulu au gout 1 panais', 'coupee en deux dans le sens de la longueur et tranchee epaisse 1 carotte', 'coupee en deux dans le sens de la longueur et tranchee epaisse 2 cuilleres a cafe de jus de citron', 'ou au gout (facultatif) 2 cuilleres a cafe de sucre blanc', 'ou pour gouter (facultatif)'","placer le boeuf dans un grand bol. ajouter le ras el hanout et frotter jusqu'a ce que le boeuf soit completement enrobe. laisser reposer 15 minutes. faire chauffer l'huile dans une marmite a feu vif jusqu'a ce qu'elle brille. ajoutez la viande, en vous assurant qu'elle n'est pas trop remplie, et saisissez-la pour sceller le jus, en remuant de temps en temps, jusqu'a ce qu'elle soit doree de tous les cotes, environ 5 minutes. transferer la viande dans une assiette. reduire le feu a moyen et ajouter le poireau et l'oignon dans la casserole. faire revenir jusqu'a ce que les poireaux deviennent dores et translucides, 3 a 4 minutes. ajouter l'ail et cuire jusqu'a ce qu'il soit parfume, environ 1 minute. ajouter les tomates et faire revenir jusqu'a ce qu'elles commencent a ramollir, 2 a 3 minutes. Remettez la viande cuite dans la casserole, ainsi que les des de citrouille et la pate de tomate. cuire et remuer pendant 2 minutes. verser le vin dans la casserole et porter a ebullition tout en grattant les morceaux dores du fond de la casserole avec une cuillere en bois. cuire jusqu'a ce que le vin reduise de moitie, 2 a 3 minutes. ajouter le bouillon de boeuf, le romarin, la menthe, le laurier, le sel et le poivre et remettre a ebullition. reduire le feu, couvrir et laisser mijoter pendant 40 minutes. ajouter le panais et la carotte, couvrir et laisser mijoter jusqu'a ce que le boeuf soit tendre, environ 40 minutes de plus. gouter la sauce et ajouter le jus de citron et le sucre, si necessaire. notes du cuisinier : de la viande de chevre ou d'agneau peut etre utilisee a la place du boeuf. vous pouvez utiliser n'importe quel type d'oignons ou d'echalotes et essayer un vin rouge comme le merlot a la place de la rose. si vous n'avez pas de ras el hanout, remplacez-le par un melange egal d'epices en poudre telles que la cardamome, les clous de girofle, la cannelle, l'anis, les piments moulus, la coriandre, le cumin, la muscade, les grains de poivre et le curcuma. vous pouvez egalement ajouter du safran et du gingembre moulu. raccourci : si vous etes presse ou si vous ne pouvez tout simplement pas vous embeter avec la cuisson lente, utilisez une cocotte minute. apres avoir deglace avec le vin, passer dans une cocotte minute et ajouter le bouillon, les herbes, etc., comme precise ci-dessus. mettez le couvercle et une fois la pression montee, reduisez le feu a doux et laissez cuire 30 minutes ; le temps variera en fonction du type et de la coupe de viande que vous utilisez. une fois hors du feu, attendez que la cuisiniere relache la pression avant de tenter de l'ouvrir.",33,51,84,https://www.allrecipes.com/thmb/g5MYatKSREJ9iiHENkgwgg0tZAY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/713184-b9003271190442299110ca32f8cf7290.jpg,https://www.allrecipes.com/recipe/277783/spicy-beef-stew-with-moroccan-spice-rub/
Roti de porc aux epices marocaines,"1 (3 livres) de roti de longe de porc desosse 5 cuilleres a cafe de sel casher 2 cuilleres a soupe d'huile d'olive 2 cuilleres a cafe de cumin moulu 1 cuillere a cafe de coriandre moulue 1 cuillere a cafe de gingembre moulu 1 cuillere a cafe de poivre noir fraichement moulu 1 cuillere a cafe de paprika fume ¼ cuillere a cafe de poivre de Cayenne ½ cuillere a cafe de cannelle moulue ¼ cuillere a cafe clous de girofle moulus ¼ cuillere a cafe de piment de la Jamaique moulu 3 cuilleres a soupe de miel', 'ou au besoin 8 pommes de terre grelots 2 carottes', 'coupees en morceaux de 2 pouces 2 piments d'Anaheim', 'coupes en deux et epepines 1 oignon rouge', 'grossierement hache 2 cuilleres a soupe d'olive huile sel au gout ½ tasse de yaourt grec nature 2 cuilleres a soupe de menthe fraiche tranchee finement 1 gousse d'ail, « finement ecrasee »","papillonnez la longe de porc en la coupant presque entierement, en commencant par le cote le plus fin, en gardant votre couteau a plat et parallele a la planche a decouper. arretez-vous a environ 1 pouce du bord oppose auquel vous avez commence, pour que la viande s'ouvre comme un livre. quelques coupes plus peu profondes peuvent etre faites si le porc ne s'ouvre pas suffisamment pour s'aplatir, mais ne coupez pas completement, sinon vous vous retrouverez avec deux morceaux. assaisonnez le porc papillon des deux cotes avec du sel casher et laissez reposer a temperature ambiante pendant 30 a 45 minutes, ou 2 a 3 heures au refrigerateur. prechauffer le four a 350 degres F (175 degres C). graisser une rotissoire avec 2 cuilleres a soupe d'huile d'olive. sechez le filet avec une serviette en papier. melanger le cumin, la coriandre, le gingembre, le poivre noir, le paprika fume, le poivre de Cayenne, la cannelle, les clous de girofle, le piment de la Jamaique et le miel dans un bol avec une cuillere. etalez environ la moitie du melange d'epices a l'interieur du porc papillon, repliez-le et etalez le reste du melange sur toute la surface. utilisez 3 ou 4 morceaux de ficelle de cuisine pour attacher la longe tous les quelques centimetres, en coupant la ficelle supplementaire. melanger les pommes de terre, les carottes, les piments et l'oignon avec l'huile d'olive et le sel dans un bol. placez le porc dans la rotissoire preparee et entourez-le du melange de legumes. rotir au four prechauffe jusqu'a ce qu'un thermometre a lecture instantanee insere dans la partie la plus epaisse de la longe indique au moins 140 a 145 degres F (60 a 63 degres C), environ 1 heure et 15 minutes. Retirer du four et retourner le roti avec des pinces dans le jus de cuisson. transferer dans une assiette, couvrir legerement de papier d'aluminium et laisser reposer 15 minutes. augmenter la temperature du four a 425 degres f. melanger le melange de legumes dans le jus de cuisson et remettre au four pour qu'il soit croustillant, environ 10 minutes. melanger le yaourt, la menthe et l'ail dans un petit bol pour la sauce. retirer les ficelles du roti. trancher, verser le jus de cuisson dessus et servir avec des legumes et une sauce au yaourt. conseils de recettes, vous pouvez utiliser un roti de longe de porc de n'importe quelle taille. en tapotant le roti de porc pour le secher avant d'appliquer le melange d'epices marocaines, il sera plus facile a tartiner. Rotir les legumes pendant que la longe de porc repose n'est necessaire que s'ils necessitent une cuisson plus poussee.",102,64,166,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.allrecipes.com%2Fthmb%2FG5rgEsZCR-Hlq-aeZX89GSojFY0%3D%2F1500x0%2Ffilters%3Ano_upscale()%3Amax_bytes(150000 )%3Astrip_icc()%2F7413099-929fc48da27448a691542a4d62f80366.jpg&f=1&nofb=1&ipt=a802a66bc9829a6850c457ea98067c856ee9cacaca5d71b0e47eb62dd1ab18bb& ipo=images,https://www.allrecipes.com/recipe/277576/moroccan-spiced-pork-roast/
Poulet roti aux peches a la marocaine,"« ¼ tasse de margarine ou de beurre ¼ tasse de miel 1 cuillere a cafe d'eau de rose 1 cuillere a cafe de sel poivre noir moulu au gout 4 livres de morceaux de poulet avec os », « avec la peau 1 livre de peches fraiches », « denoyautees et tranchees 1 cuillere a soupe de sucre blanc ½ tasse grillee amandes effilees (facultatif)'","prechauffer le four a 425 degres F (220 degres C). dans une tasse a mesurer en verre, melanger la margarine, le miel, l'eau de rose, le sel et le poivre. chauffer au micro-ondes jusqu'a ce que la margarine ait fondu, environ 30 secondes. placez le poulet dans un plat allant au four et versez le melange de margarine dessus. remuer pour enrober completement le poulet. mettez le plat de poulet au four. cuire a decouvert dans le four prechauffe jusqu'a ce que les morceaux de poulet soient dores, environ 15 minutes. reduire la temperature du four a 350 degres F (175 degres C). ajoutez les peches dans le plat et saupoudrez de sucre. continuer a rotir jusqu'a ce que le poulet soit bien cuit, environ 20 minutes supplementaires. deposez les morceaux de poulet dans un plat de service et versez dessus le jus de la poele. garnir d'amandes effilees.",26,78,104,https://www.allrecipes.com/thmb/sv9tvQcq1F2rWC_8W5ExpkFRSI0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/172110-1d072e16b0a5448ca7f3a741c2cfc747.jpg,https://www.allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken/
Soupe marocaine aux lentilles,"« 2 oignons », « 2 gousses d'ail hachees », « emincees 1 cuillere a cafe de gingembre frais rape 6 tasses d'eau 1 tasse de lentilles rouges 1 (15 onces) boite de pois chiches », « egouttes 1 (19 onces) boite de haricots cannellini 1 (14,5 onces) ) boite de tomates en des ½ tasse de carottes en des ½ tasse de celeri hache 1 cuillere a cafe de garam masala 1 ½ cuillere a cafe de cardamome moulue ½ cuillere a cafe de poivre de Cayenne moulu ½ cuillere a cafe de cumin moulu 1 cuillere a soupe d'huile d'olive","faire sauter dans une grande casserole; les oignons, l'ail et le gingembre dans un peu d'huile d'olive pendant environ 5 minutes. ajoutez l'eau, les lentilles, les pois chiches, les haricots blancs, les tomates en des, les carottes, le celeri, le garam masala, la cardamome, le poivre de Cayenne et le cumin. porter a ebullition pendant quelques minutes puis laisser mijoter pendant 1 a 1 1/2 heures ou plus, jusqu'a ce que les lentilles soient tendres. reduire en puree la moitie de la soupe dans un robot culinaire ou un melangeur. remettez la puree de soupe dans la casserole, remuez et degustez !",12,116,128,https://www.allrecipes.com/thmb/PLckVWu-h1Z1l6GtC-lYFc-zzbg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262727-06dba02d1ee040bd977de8a8f69b4d8e.jpg,https://www.allrecipes.com/recipe/12960/moroccan-lentil-soup/
Harira marocaine vegetarienne,"« 2 cuilleres a soupe d'huile vegetale 1 gros oignon », « 2 livres de tomates hachees », « 1 boite de pois chiches coupees en des (15 onces), « egouttee 1 bouquet de coriandre fraiche », « 1 bouquet de persil frais hache », « 20 feuilles de menthe fraiche hachees » ', 'hache 1 cuillere a cafe de paprika moulu 1 cuillere a cafe de curcuma moulu 1 cuillere a cafe de gingembre moulu ½ cuillere a cafe de harissa 1 pincee de fils de safran 4 tasses d'eau', 'ou plus au gout 1 cuillere a soupe de farine tout usage 1 cuillere a cafe de fecule de mais ½ tasse de tomates cerises', 'coupees en deux sel et poivre noir moulu au gout","Chauffer l'huile dans une grande casserole a feu moyen et cuire l'oignon jusqu'a ce qu'il soit tendre et translucide, environ 5 minutes. ajouter les tomates, les pois chiches, la coriandre, le persil, la menthe, le paprika, le curcuma, le gingembre, l'harissa et le safran. ajouter de l'eau et cuire a feu moyen jusqu'a ce que les saveurs se melangent, environ 30 minutes. melangez quelques cuilleres a soupe de liquide a soupe avec la farine et la fecule de mais dans un petit bol et remettez dans la soupe en remuant bien. ajouter les tomates cerises. porter a ebullition, reduire le feu et laisser mijoter a feu doux jusqu'a ce que la soupe epaississe, environ 10 minutes. Assaisonnez avec du sel et du poivre. note du cuisinier : si vous avez le temps, epluchez vos tomates. pour cela, coupez un x au bas de chacun, plongez-les dans l'eau bouillante pendant 25 secondes, transferez-les dans un bain d'eau glacee, puis epluchez delicatement et coupez en des.",36,87,123,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2017%2F05%2Fharira-2-moroccan-soup-picturepartners-bigstock.jpg&f =1&nofb=1&ipt=357c4dda4e3547a7d7b9c9243b1a9eb2fc750bceab3e10203fafcfc797870991&ipo=images,https://www.allrecipes.com/recipe/261701/vegetarian-moroccan-harira/
Tajine de poulet marocain Instant Pot,"« 2 cuilleres a soupe d'ail frais emince 1 ¼ cuilleres a cafe de paprika ¾ cuillere a cafe de gingembre moulu ¾ cuillere a cafe de curcuma moulu ⅛ cuillere a cafe de safran en poudre 1 ½ livre de poitrines de poulet desossees sans peau », « coupees en bouchees » 1 citron confit 2 cuilleres a soupe d'olive extra vierge d'huile 2 cuilleres a soupe de beurre 2 oignons rouges moyens, tranches 1 baton de cannelle 1 tasse d'olives mediterraneennes denoyautees et coupees en deux 1 tasse de bouillon de poulet 1 cuillere a soupe de persil plat frais hache 1 cuillere a soupe de coriandre fraiche hachee","melanger l'ail, le paprika, le gingembre, le curcuma et le safran dans un grand bol. ajouter les morceaux de poulet et melanger jusqu'a ce qu'ils soient enrobes d'epices. couvrir et refrigerer 3 a 4 heures ou toute la nuit. couper le citron confit en quartiers. retirez la pulpe de la peau et retirez les graines de la pulpe. hacher la pulpe et reserver. coupez le zeste de citron en lanieres et reservez. allumez un autocuiseur multifonctionnel (comme un pot instantane) et selectionnez la fonction faire sauter. faire chauffer l'huile d'olive et le beurre dans la cuisiniere; ajouter le poulet. cuire le poulet jusqu'a ce qu'il soit dore, environ 3 minutes de chaque cote. transferer le poulet dans une assiette en reservant le jus de cuisson dans la casserole. placez les oignons et la pulpe de citron dans la marmite et faites cuire, en remuant de temps en temps, jusqu'a ce que les oignons aient ramolli, environ 5 minutes. ajoutez le baton de cannelle, placez le poulet dessus et parsemez les olives et le zeste de citron sur le poulet. verser le bouillon de poulet. fermez et verrouillez le couvercle. selectionner la haute pression selon les instructions du fabricant ; regler la minuterie sur 10 minutes. attendez 10 a 15 minutes pour que la pression monte. relachez la pression en utilisant la methode de liberation naturelle selon les instructions du fabricant, environ 10 minutes. deverrouillez et retirez le couvercle avec precaution, en le tournant loin de vous. transferer le contenu dans un grand bol de service. saupoudrer de persil et de coriandre et servir immediatement. conseils, vous pouvez utiliser n'importe quelle coupe de poulet sans peau et sans os que vous souhaitez.",104,4,108,https://www.allrecipes.com/thmb/PxLq3T1mWnvXdRSnDi4uJ78lA9w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6741502-c7f1b59d2cab4e4498856d9f569d3d69.jpg,https://www.allrecipes.com/recipe/274340/instant-pot-moroccan-chicken-tagine/
Tajine au poulet,"'2 cuilleres a soupe d'huile d'olive 8 sans peau', 'cuisses de poulet desossees', 'coupees en morceaux de 1 pouce 1 aubergine', 'coupees en cubes de 1 pouce 2 gros oignons', 'tranchees finement 4 grosses carottes', 'tranchees finement ½ tasse canneberges sechees ½ tasse d'abricots secs haches 2 tasses de bouillon de poulet 2 cuilleres a soupe de pate de tomate 2 cuilleres a soupe de jus de citron 2 cuilleres a soupe de farine tout usage 2 cuilleres a cafe de sel d'ail 1 ½ cuilleres a cafe de cumin moulu 1 ½ cuilleres a cafe de gingembre moulu 1 cuillere a cafe de cannelle ¾ cuillere a cafe de poivre noir moulu 1 tasse d'eau 1 tasse de couscous","faire chauffer l'huile d'olive dans une poele a feu moyen-vif. placer les morceaux de poulet et les aubergines dans l'huile chauffee; remuer et cuire jusqu'a ce que le poulet soit dore de tous les cotes mais pas bien cuit. retirer la poele du feu. placez le poulet dore et les aubergines au fond d'une mijoteuse. Disposez l'oignon, les carottes, les canneberges sechees et les abricots sur le poulet. fouetter ensemble le bouillon de poulet, la pate de tomate, le jus de citron, la farine, le sel d'ail, le cumin, le gingembre, la cannelle et le poivre noir moulu dans un bol. verser le melange de bouillon dans la mijoteuse avec le poulet et les legumes. cuire a feu vif pendant 5 heures ou a feu doux pendant 8 heures. porter l'eau a ebullition dans une casserole. incorporer le couscous et retirer du feu. couvrir et laisser reposer environ 5 minutes, jusqu'a ce que le liquide soit absorbe. ebouriffer avec une fourchette.",61,15,76,https://www.allrecipes.com/thmb/gd9Lao_rXUyAMz2qRKH7RYxoPV4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ChickenTagine_007-2000-d8c475500923438584e5e5398bd41225.jpg,https://www.allrecipes.com/recipe/180014/chicken-tagine/
Tajine de poulet marocain facile,"""1 cuillere a soupe d'huile d'olive 2 sans peau"", ""moities de poitrine de poulet desossees - coupees en morceaux ½ oignon moyen"", ""3 gousses d'ail hachees"", ""1 petite courge musquee hachee"", ""pelees et hachees 1 boite de pois chiches (15,5 onces)"" , 'egouttees et rincees 1 boite de tomates en des (14,5 onces), 'non egouttees 1 boite (14 onces) de bouillon de legumes 1 carotte moyenne', 'pelees et hachees 1 cuillere a soupe de sucre 1 cuillere a soupe de jus de citron 1 cuillere a cafe de sel 1 cuillere a cafe de coriandre moulue 1 pincee poivre de Cayenne'","Faire chauffer l'huile dans une grande poele a feu moyen. ajouter le poulet, l'oignon et l'ail; cuire et remuer jusqu'a ce que l'oignon soit translucide et que le poulet soit dore, environ 15 minutes. ajouter la courge, les pois chiches, les tomates non egouttees, le bouillon, la carotte, le sucre, le jus de citron, le sel, la coriandre et le poivre de Cayenne dans la poele. porter le melange a ebullition, puis baisser legerement le feu et laisser mijoter jusqu'a ce que les legumes soient tendres, environ 30 minutes.",30,60,90,https://www.allrecipes.com/thmb/FJpT2uC8FAgenWDUIF8rLGqKYJg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3918270-4a420b15b6a2406bbf82a3b9f900ad45.jpg,https://www.allrecipes.com/recipe/69633/stovetop-moroccan-tagine/
Tajine de pois chiches epice,"'1 cuillere a soupe d'huile d'olive 2 oignons', '4 gousses d'ail emincees', '2 cuilleres a cafe de curcuma moulu 2 cuilleres a cafe de cumin moulu 1 cuillere a cafe de cannelle moulue ½ cuillere a cafe de poivre de Cayenne ½ cuillere a cafe de poivre noir moulu 1 ½ cuillere a cafe de nectar d'agave 2 cuilleres a soupe d'eau', ' ou au besoin 3 carottes', 'coupees en tranches de 1/4 de pouce ¼ cuillere a cafe de sel 2 boites (14 onces) de pois chiches (garbanzo)', 'egouttees et rincees 4 quartiers de citron 4 brins de coriandre fraiche', 'ou au choix'","chauffer l'huile dans un tajine ou une cocotte a feu moyen; cuire et remuer les oignons et l'ail jusqu'a ce qu'ils soient ramollis, 5 a 10 minutes. ajoutez le curcuma, le cumin, le nectar d'agave, la cannelle, le poivre de Cayenne et le poivre noir et remuez jusqu'a ce que le melange d'oignons soit uniformement enrobe. ajoutez juste assez d'eau pour couvrir le fond du tajine; ajouter les carottes et le sel. cuire a feu moyen-doux pendant 12 minutes. melanger les pois chiches au melange de carottes, en ajoutant plus d'eau si necessaire pour couvrir le fond mais en gardant la sauce epaisse. cuire le melange pendant 7 minutes. servir le tajine avec des quartiers de citron et de la coriandre.",111,119,230,https://www.allrecipes.com/thmb/IRwDQD0OOOTWRBJ8oqO8fiT5Gus=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3119325-58b23fe40dfd46c7ad1e68fa5e49e548.jpg,https://www.allrecipes.com/recipe/245152/spicy-chickpea-tagine/
