name,ingredients,instructions,preparation_time,cooking_time,,total_time,image_url,source
Couscous marocain traditionnel au poulet,4 cuisses de poulet1 oignon2 carottes2 navets600 gr de pois chiches1/2 chou1 courgette1 bouquet de persil1 bouquet de coriandre500 gr de semoule moyenneselpoivre1 c. à soupe de paprika1 c. à soupe de cuminsafran (colorant alimentaire)1 c. à café de gingembrehuile d'olive,"Dans le couscoussier, faire chauffer de l'huile d'olive. Puis y faire revenir l'oignon émincé et les cuisses de poulet.Ajouter les épices, puis les pois chiches et mélanger. Couvrir d'eau.Ajouter ensuite les navets et les carottes pelés et coupés grossièrement. Laver et attacher ensemble les deux bouquets d'herbe et les ajouter aux légumes.En attendant que le mélange bout, verser la semoule dans un grand plat. Saler, puis ajouter 40 cl d'eau, et laisser quelques minutes pour qu'elle gonfle. Ajouter ensuite 2 c. à soupe d'huile d'olive, et mélanger avec les mains.Plier des feuilles de sopalain en 4 dans la longueur et les humidifier légèrement. Les placer autour du couscoussier. Cette étape permet d'assurer l'étanchéité de la cuisson.Verser la semoule dans le haut du couscoussier, en prenant bien soin de ne pas la tasser. Puis la placer sur le couscoussier, et laisser cuire à feu moyen 30 à 45 minutes.Sortir ensuite la semoule du couscoussier, et y verser 10 cl d'eau. Laisser refroidir, puis ajouter 1 c. à soupe d'huile d'olive, et travailler avec les mains. Frotter la graine entre les mains afin d'enlever les éventuels grumeaux. Ajouter le demi-chou coupé grossièrement dans les légumes. Remettre la semoule dans le haut du couscoussier, puis sur le couscoussier. et laisser cuire à nouveau 30 à 45 minutes.Sortir le haut du couscoussier, et ajouter la courgette non pelée coupée en gros morceaux. Remettre la semoule, et cuire une dernière fois 30 à 45 minutes.Servir dans un grand plat, en formant d'abord un cercle de semoule.Puis, mettre les légumes et la viande à l'intérieur d'u cercle.Enfin, passer une à deux louches de sauce sur la semoule. Et voilà, votre couscous marocain est prêt !",30 min,180 min,,210 min,https://www.ptitchef.com//imgupl/recipe/couscous-marocain-traditionnel-au-poulet--md-452156p700011.jpg,https://www.ptitchef.com//recettes/plat/couscous-marocain-traditionnel-au-poulet-fid-1567178
Tajine de poulet aux épices marocains,4 cuisses de poulet et 2 blancs3 gousses d'ail pressées3 càs d'épices marocains (ou épices à tagine)1 poignée de coriandre fraîche2 càs d'huile d'olive4 oignons coupés en cubes1 verre à moutarde de bouillon de volaille5 belles carottesécorces de citron confitolives violettesSel et poivre,"Enlever la peau des cuisses de poulet et les couper en 2. Dans un bol mélanger les épices, l'ail, la coriandre ciselée, l'huile d'olive, sel et poivre Ajouter la moitié de cette marinade aux morceaux de poulet et bien les mélanger pour les imprégner.  Pendant que le poulet marine, gratter les carottes et les couper en tronçons de 6 cm, puis les détailler en allumettes minces. Verser le reste de marinade dessus et bien mélanger.  Dans une marmite fermant avec couvercle, mettre à revenir les oignons dans un peu d'huile d'olive jusqu'à ce qu'ils soient translucides. Disposer sur les oignons les cuisses de poulet avec la marinade. Recouvrir avec les allumettes de carottes, verser le bouillon. Porter à ébullition puis baisser le feu à très doux et couvrir. Laisser mijoter 1 h environ.  Disposer les lamelles de citron confit dessus, et les olives ébouillantées au préalable pour lever l'amertume. Cuire encore 2 à 3 mn.  Servir très chaud avec de la semoule.",30 min,60 min,,90 min,https://www.ptitchef.com//imgupl/recipe/tajine-de-poulet-aux-epices-marocains--md-14495p18036.jpg,https://www.ptitchef.com//recettes/plat/tajine-de-poulet-aux-epices-marocains-fid-920142
Mini batbouts (petits muffins marocains) natures ou fourrés,"Le ""batbout"" est un délicieux pain marocain cuit à la poèle à feu doux ...Les mini batbouts peuvent se déguster en mode sucré ou salé, ils sont le bienvenu aussi bien au petit déjeuner avec du fromage fondu, du beurre et de la confiture, que salé, au goûter ou au dîner en mode hamburger, fourré de viande haché ou de poulet... les garnitures sont innombrables ! J'ai fourré les miens avec du fromage fondu, de la tomate et du cashir.500g de semoule fine,500 g de farine de blé,1 càs de sel,2 càs de levure boulangère,1 càs de sucre semoule,2 grands verres et demi d'eau tiède.de la semoule et farine pour le plan de travail.","- Dans un verre, faites monter la levure avec un peu d'eau tiède et le sucre.  - Pendant ce temps, dans la cuve de votre pétrin, mettre la semoule, la farine et le sel. Mélanger avec une cuillère en bois et faites un puits. Une fois la levure levée, la verser dans le puits. Ajouter un verre d'eau et mettez en marche le pétrin. Ajoutez l'eau tiède au fur et à mesure pour obtenir une pâte souple, qui se décolle des parois de la cuve. Recouvrir la pâte et laisser reposer 45 minutes dans un endroit chaud.  - Vous pouvez également pétrir à la main, c'est le même procédé.  - Sur un plan de travail fariné, abaissez la pâte finement et à l'aide d'un emporte-piède ou d'un verre, découper des petits ronds.  - Déposer ces petits ronds sur une plaque recouverte de semoule et couvrir. Laisser lever le temps qu'ils doublent de volume.  - Les cuire à feu doux sur une poèle à crêpe, 4 à 4. Attention, ils sont fragiles ! Mettre la face du dessus du batbout en premier à cuire sur la poèle pour leur donner cette forme de muffin.   - Ils se congèlent très bien !",30 min,20 min,,50 min,https://www.ptitchef.com//imgupl/recipe/mini-batbouts-petits-muffins-marocains-natures-ou-fourres--md-15717p19577.jpg,https://www.ptitchef.com//recettes/autre/mini-batbouts-petits-muffins-marocains-natures-ou-fourres-fid-978256
"""Sfenj"", beignets Marocains",300 g de farine150 g de semoule très fine400 à 500 ml d'eau tiède20 g de levure de boulanger fraîche1/2 sachet de levure chimique1/2 cuillère à café de selBain d'huile pour la friture,"Délayer la levure dans un peu d'eau tiède et laisser reposer quelques minutes à l'abri des courants d'airs.  La levure doit buller.Dans un grand saladier, mélanger la farine et la semoule fine.  Faire un puits et y déposer le sel, la levure chimique ainsi que la levure de boulanger. Mélanger.Verser l'eau petit à petit en amalgamant la pâte.  Celle-ci doit être lisse et bien mouillée.  Pétrir énergiquement en soulevant la pâte, cela dure environ 20 minutes et doit être vif et ferme.Couvrir la pâte d'un plastique puis d'un linge épais du genre un plaid.  Laisser bien lever environ 3 heures. La pâte doit doubler de volume et buller.  La faire tomber en pétrissant encore 10 minutes puis remettre à lever encore 3 heures.Mettre le bain d'huile à chauffer sans qu'il ne soit fumant. Huiler les mains puis prélever un peu de pâte de la taille d'un œuf, faire un trou en élargissant un peu la pâte.Plonger dans l'huile, et à l'aide d'un pic à brochette en métal, élargir le trou en donnant des mouvements circulaires. Retourner le sfenj dès qu'il est doré et faire cuire des deux côtés.  Égoutter.",25 min,5 min,,30 min,,https://www.ptitchef.com//recettes/autre/sfenj-beignets-marocains-fid-409781
Kaak d'Oujda en étapes ( biscuits marocains ),1 kg de farine2 grands verres d'huile neutre4 grands verres de sucre semoule1/2 grand verre de graines de sésames dorées2 oeufs ( 1 pour la pâte + 1 pour dorer )2 cuillères à soupe très rases de cardamome en poudre2 cuillères à soupe rases d'anis en poudre2 sachets de levure chimique ou 4 cuillerées à café1 cuillerée à café légèrement bombée de levure boulangèreDe l'eau tiède,"Dans un récipient, mélanger la farine avec l'huile, le sucre, les grains de sésames, l’œuf, la cardamome, l'anis, la levure chimique et la levure boulangère.Si on utilise de la levure boulangère type SAF, pensez à la faire buller et mousser dans un petit verre avec un peu d'eau et une pincée de sucre environ 30 minutes avant de commencer la recette.Pétrir énergiquement tout en ajoutant peu à peu de l'eau tiède pour obtenir une belle pâte homogène. Pétrir vivement plusieurs minutes.Diviser la pâte en boulette de la taille d'un œuf et façonner des boudins de 20 cm de long.A l'aide de ciseaux ou d'un couteau pointu, entaillé un côté du boudin sur toute sa longueur puis l'enrouler en bracelet. Poser sur une plaque huilée.Dorer à l’œuf à l'aide d'un pinceau puis couvrir et laisser reposer environ 45 minutes à 1 heure.  Faire cuire ensuite à 180°C jusqu'à ce que les Kaak soient joliment dorés. Laisser refroidir avant de déguster.",30 min,30 min,,60 min,https://www.ptitchef.com//imgupl/recipe/kaak-d-oujda-en-etapes-biscuits-marocains--md-121101p180233.jpg,https://www.ptitchef.com//recettes/autre/kaak-d-oujda-en-etapes-biscuits-marocains-fid-93334
Les spécialités culinaires du Maroc,,,,,,,,https://www.ptitchef.com//dossiers/recettes/les-specialites-culinaires-du-maroc-aid-1303
Macarons marocains aux noix de coco et semoule,500 g de noix de coco râpée350 g de sucre glaceZeste d'un citron5 oeufs200 g semoule fine1/2 verre d'huile1/2 verre de beurre fondu1 sachet de levure chimique,"Mélangez tout les ingrédients dans un grand saladier, sauf la levure chimique.Travaillez énergétiquement jusqu'à ce que la pâte soit bien homogène.  Couvrir avec un film alimentaire et conservez une nuit dans le frigo.Le lendemain, incorporez la levure chimique au mélange et préchauffez le four à 180°.Humectez-vous les mains avec un peu d'eau de fleur d'oranger, prélevez une grosse noix de pâte et formez une boule.Badigeonnez le dessus de la boule avec de l'eau de fleur d'oranger et aplatissez-la légèrement sur un fond de sucre glace.Posez la boule dans une plaque habillée de papier sulfurisé.  Faites la même chose avec le reste de la pâte et enfournez environ 15 minutes.",20 min,15 min,,35 min,https://www.ptitchef.com//imgupl/recipe/macarons-marocains-aux-noix-de-coco-et-semoule--md-213011p332424.jpg,https://www.ptitchef.com//recettes/dessert/macarons-marocains-aux-noix-de-coco-et-semoule-fid-239259
CARRES MAROCAINS AUX NOIX ET AU CHOCOLAT,1 Kg de noix mélangés200 g de graines de sésames1 tasse de 250 ml de sucre en poudre2 blancs d' oeufs4 cuillères à soupe de beurre fondu1 cuillère à soupe de vanille liquide400 g de chocolat noir (au lait) + 4 carrés400 g de chocolat blanc + 4 carrés,"Faire griller les noix mélangés dans le four à 180 °C, faire griller appart les graines de sésames . Laisser le tout reffroidir, mixer en poudre les noix et les graines de sésames avec le sucre au robot, mixer appart très finement les petits beurre .Recouvrir de papier cuisson un moule à gâteau rectangulaire de 45x32 cm et beurrer le papier.Dans un bol mélanger les blancs d' oeufs, le beurre, et la vanille, mettre les noix en poudre et les biscuits réduis en poudre dans un grand plat et verser dessus le contenue du bol, bien incorporer avec les mains, verser dans le moule préparé et bien aplatir avec les mains, passer ensuite le rouleau pour égaliser la surface.Mettre au four 10 minutes à 180 °C, laisser refroidir totalement .Le démouler et poser le gâteau sur un grand plateau recouvert de film alimentaire.Faire fondre le chocolat noir au bain marie, remuer à la spatule, verser le chocolat fondu sur la plaque de gâteau cuit et refroidi et bien répartir. Faire fondre 30 g de chocolat blanc au micro-onde en le remuant souvent . Mettre le chocolat sur du film alimentaire et former un petite boule de chocolat emprisonné dans le film plastique, faire un mini trou avec une aiguille ou un cure dent et faire couler le chocolat blanc sur le chocolat noir et en faisant des lignes horizontales.Passer la pointe du couteau tout les 5mm sur les lignes une fois en partant du haut, une fois en partant du bas pour faire comme le mille feuille ou 2 fois en partant du haut et 2 fois en partant du bas pour faire des vagues.Mettre au frais pour que le chocolat durcisse et recommencer la même opération de l' autre côté du gâteau avec le chocolat blanc et le strier avec du chocolat noir. Remettre au frais pour que le chocolat durcisse.",25 min,40 min,,65 min,https://www.ptitchef.com//imgupl/recipe/carres-marocains-aux-noix-et-au-chocolat--md-81512p114592.jpg,https://www.ptitchef.com//recettes/dessert/carres-marocains-aux-noix-et-au-chocolat-fid-38165
Du Smen fait maison pour réussir vos plats algériens ou marocains!!! (beurre rance),250 g de beurre demi-sel1 cuillère à soupe de gros sel1/4 de cuillère à café de zaatar (origan sec),Mélangez le tout et mettre dans une boîte en plastique ou une jarre en terre.Fermer et laisser reposer dans un endroit sec et à l'abri de l'air et du soleil durant 1 mois au minimum avant utilisation.,10 min,0 min,,10 min,,https://www.ptitchef.com//recettes/autre/du-smen-fait-maison-pour-reussir-vos-plats-algeriens-ou-marocains-beurre-rance-fid-83022
Feuilletés Marocains farcis,500 g de farine de blé1 cuillère à café de sel25 cl d'eau tiède1 bol d'huile neutre ou mélange huile et beurreUn bol de semouleUne pincée de levure fraiche1 oeuf pour badigeonnerHuile pour les plaques à four3 oignons moyens râpés200 g de morceaux de viande boucanées avec agriche4 cuillères à soupe de persil et coriandre hachésPaprikaSelPoivre1 oignon râpés3 petites courgettes3 carottes moyennes3 pommes de terre moyennes1 ou 2 navets1 petit poivron rougeQuelques haricots vertsQuelques champignons émincés1 gousse d'ailun bouquet de coriandre et persil hachés1 cube de bouillon ou équivalentSelpoivrecurcuma,"Pour la farce au oignons, faites revenir les oignons dans un peu de graisse de khlii. Quand les oignons sont devenues transparents, ajoutez le reste des ingrédients. Laissez refroidir.Pour la farce au légumes, faites revenir tous les ingrédients râpés sauf les herbes ainsi que sel et poivre .Couvrez pour laisser les légumes doivent transpirer. Ajoutez les herbes, sel et poivre vers la fin. Laissez refroidir, Essorez avant utilisation.Pour la pâte à Rghaief, faites un puits au centre de la farine, mettez-y le la levure, le sel un peu plus loin . Ajoutez l'eau en petites doses en pétrissant jusqu'à obtenir une pâte bien lisse.Laissez la pâte reposez 20 à 30 minutes, important puisque cela vous aidera à la travailler par la suite. Huilez vos mains, faites des boules de la taille d'un oeuf et imprégnez-les d'huile.Rangez-les sur une table ou un plateau huilé. Etalez les boules une à une avec la paume de la main huilée et ensuite avec les doigts en étirant doucement la pâte dans tous les sens jusqu'à ce qu'elle soit fine et étalée de façon régulière. Saupoudrez de semoule fine.Rabattez les 4 côtés en les faisant se chevaucher de façon à obtenir un carré. Laisser la face à plis vers le bas.Placez sur une plaque allant au four. Aplatissez légèrement et badigeonnez.Faites préchauffez le four à 180°, une plaque ou poêle à fond épais, en fonte ou en terre cuite, huilez légèrement les plaques et faite cuire jusqu'à dorure.",60 min,20 min,,80 min,,https://www.ptitchef.com//recettes/entree/feuilletes-marocains-farcis-fid-823331
