Unnamed: 0,name,ingredients,instructions,preparation_time,cooking_time,total_time,image_url,source
0,Choumicha's Harira,"Lamb (600 g) - tomato puree (1 kg) - Chickpeas (200 g) - Flour (100 g) - Water (2 l) - green lens (s) (100 g) - Vermicecelle (s)(100 g) - chopped celery (3 branch (s)) - onion (s) (2) - Turmeric powder (4 tbsp) - tomato concentrate (2 tbsp) - Powder cinnamon (1C. Soup) - Ginger (1 tsp) - Ras -Al -Hanout (1 tbsp) - chopped coriander () - chopped parsley () - olive oil () - salt, pepper () ()","To prepare your Choumicha Harira, pour a little olive oil into a pot and brown the onions as well as coriander, parsley and celery.
- Cut the lamb into pieces and brown it a few minutes.Add turmeric, cinnamon, ginger, ras-el-hanout and tomato puree for 5 min over medium heat.Stir while ensuring that your preparation for Harira Choumicha does not hang.Add the tomato puree and cook for an additional 10 minutes.
- Pour them into the pot.Drain your chickpeas that you have soaked from the day before, add them, then cover with boiling water.Add salt and pepper.
- Wear the Choumicha Harira to a boil, lower the heat and simmer for 2 hours.
- Add the vermicelli and cook for 5 minutes.
- Meanwhile, prepare your binder: highly dilute the flour in a small amount of water.Add this mixture gradually to your soup by mixing it.Depending on the texture you want, you may not use the whole quantity.Let thicken a few minutes.Your Choumicha Harira is ready!",15,30,45,https://img.cuisineaz.com/660x660/2016/06/28/i74271-harira-choumicha.jpeg,https://www.cuisineaz.com/
1,Couscous royal,Grains of couscous (medium) (1 kg) - Showed lamb shoulder (1 kg) - Chicken (1) - Merguez (12) - Chick peas (2 cup (s)) - Courgette (s) (4) - Carrot(s) (4) - turnip (s) (2) - Aubergine (s) (2) - Tomato (s) Mûre (s) (3) - Onion (s) (1) - Raisins (150 g) -SMEN (3 tsp) - Tomato concentrate (2 c. Soup) - RAS El -Hanout (3 tbsp) - Paprika (1 tsp) - flat parsley (5 strand (s))- Harissa (1 pinch (s)) - Olive oil (1 glass (s)) - Salt (1 pinch (s)) - Pepper (1 pinch (s)),"Cut the noble parts of the chicken (thigh, white and wings) into pieces and the lamb shoulder in fairly large cubes.At the bottom of the couscoussier, brown them over high heat for 5 to 10 min in olive oil.Add the SMEN, the meats, the onion minced in a large casserole or a tagine dish.Add the couscous spices, salt and pepper.
- Pour the tomato coulis and fresh tomatoes, wet with water at height, mix and simmer for 15 min, over low heat.Peel the carrots and turnips.Cut the eggplants and carrots into sticks, turnips in quarters and zucchini in sections.Speed the raisins in a bowl of hot water.
- Add the vegetables, parsley and spices (you can add 1 branch of celery, 1 bouquet of parsley, and 1 bouquet garni) and complete with water at height.Having boiled, cover and extend the cooking 45 min at 1 hour to small broths.Add, 5 min before the end, chickpeas and drained raisins.
- Prepare the semolina according to the indication of the package and incorporate butter into plots using a fork to separate the grains.Grill the merguez in the pan.
- Couscous, meats, cooked vegetables and sauce will be served in separate dishes.For example, present the dome semolina on a large dish and place the Merguez en Étoiles on it.Take with a skimmer, vegetables and meats, train them in two separate hollow dishes.Pour the broth into a tall.Take a ladle to dilute the Harissa.",20,40,60,https://img.cuisineaz.com/660x660/2016/04/28/i15329-couscous-royal.jpg,https://www.cuisineaz.com/
2,Moroccan tagine,Lamb (800 g) - Apple (s) of earth (4) - Carrot (s) (1) - Tomato (s) (1) - Courgette (1) - onion (s) (1) - Green olives (1 handle(s)) - Safran (2 pinch (s)) - cumin (1 tsp) - olive oil () - salt () - pepper (),"Heat 1 tsp.oil in a tagine dish in fire.Brown the meat there on all sides for 10 min.
- Peel the onion, the potatoes and the carrot, cut them into pieces.Wash the zucchini and cut it into pieces.
- Add all the vegetables, in the tagine with cumin and 4 spices, salt and pepper, saffron, olives and a glass of water.Cover and cook for 30 min over low heat.
- Add the washed tomato and cut into pieces.Cook for another 15 min.Serve hot with bread.",10,25,35,https://img.cuisineaz.com/660x660/2024/02/29/i197524-tajine-marocain.jpg,https://www.cuisineaz.com/
3,Traditional couscous with vegetables,Beef paleron (800 g) - semolina (300 g) - boxes in boxes (200 g) - tomato (s) (5) - turnip (s) (2) - zucchini (s) (5) - Carrot (s) (5) - Onion (s) (2) - Vegetable broth (1 cube (s)) - Paprika (1 tsp) - Turmeric (1 tsp) - Ras El -Hanout (1 tsp.Coffee) - Ginger (0.5 tbsp) - Pepper salt () - Olive oil () - Coriander () - Persil (),"In a casserole dish, brown the minced onions in olive oil and mixed tomatoes for about 5 min.Add the vegetable broth cube, spices and herbs and cook for a few more minutes.Add the roughly cut meat into pieces and brown it slightly in this mixture.
- Add the turnips cut in quarters and cover with 1l boiling water.Cook 25 min.
- Cut the carrots in 4 and add them to your broth.Cook for about 15 min again.Add the chickpeas and cook for 5 to 10 minutes.
- At the same time, prepare and cook the semolina.Once cooked, pour it into a large flat plate and form a hollow.Pour a little of your sauce in the center, arrange your vegetables above and your meat.Coat a little sauce again.
- Keep the remaining sauce in a bowl available, with which everyone can refrain as they please.",25,35,60,https://img.cuisineaz.com/660x660/2022/02/23/i183021-couscous-traditionnel-aux-legumes.jpeg,https://www.cuisineaz.com/
4,Moroccan Sellou,Flour (500 g) - Emonded almond (s) (500 g) - Sesame seeds (500 g) - Fady butter (500 g) - Liquid honey (250 g) - Anise seed (1 tsp) -Powder cinnamon (1 tbsp) - grated nutmeg (0.5 tbsp) - powder (0.5 tsp) - Gum (2 tbsp) - grilled almond (1 glass(s)) - icing sugar (2 tbsp),"Roasting the flour in the oven by regularly monitoring it or in a large, hot non -stick skillet.Whatever the technique, stir regularly so that it takes a beautiful brown-dore color and pay attention to what it does not burn.If you use the pan, you can proceed in several times to obtain a homogeneous coloring.
- Sift the flour and set aside.
- Grill the sesame seeds in the same way to roast them.
- Then also roast outdated almonds, rid of their skin.
- In the tank of a culinary robot, mix together the roasted ingredients with nutmeg, anise, cinnamon and gum arabic.
- Pour the roasted and sifted flour in a large large and hollow dish, for example a Moroccan GSSâa.
- Add the dried fruits and ingredients you have mixed by mixing them well with flour.
- Pour gradually clarified melted butter and honey by working the preparation by hand to incorporate them well and bind the mixture.
- Dose the amount of clarified butter depending on the texture you want to obtain.
- Do not add too much if you want a traditional Moroccan saddle, still ""powder"", ideal for mounting a pretty pyramid.The more you add, the more your saddler will be linked and fatty.
- Enhance the Moroccan saddle by forming a pyramid on a beautiful plate.
- Sprinkle with the icing sugar using a colander and decorate by drawing lines on 4 sides from the bottom to the top with the whole almonds.",30,45,75,https://img.cuisineaz.com/660x660/2016/07/09/i27808-sellou-a-la-marocaine.jpeg,https://www.cuisineaz.com/
5,Moroccan Couscous,"Carrot (s) (500 g) - tomato (s) (2) - onion (s) (1) - turnip (s) (500 g) - squash (250 g) - zucchini (s) (2) - Peas chiches(250 g) - Fine couscous (500 g) - Lamb leg (500 g) - Fresh coriander (0.5 bouquet (s)) - ginger (0.5 tsp) - Ras El -Hanout (1c. coffee) - turmeric (1 tsp) - olive oil (4 tsp) - salt, pepper ()","In a pressure cooker, place the lambing pieces, the chopped onion and the mixed tomatoes.Add olive oil and spices.Pour a small glass of water.Simmer over low heat for 10 min, stirring regularly with a wooden spoon.Then add the drained chickpeas and cover it all with water.Cook covered for about 15 min, always over low heat.
- Meanwhile, peel all the vegetables (turnips, squash and zucchini) and cut them into medium-sized pieces.Wash the coriander, dry it thoroughly and tie it.
- At the end of the 15 min of cooking, add the pieces of carrot, turnips and the coriander bouquet.Cook for 15 min again by monitoring the water level: add it if necessary so that it always covers the vegetables and the meat.
- In a bowl, place the couscous semolina, add lukewarm water to it by working by hand so that it swells slightly and homogeneously.Salt at your convenience.
- In a couscoussier, heat water.Place the semolina in the upper part and cook for 20 min.Repeat the operation (water and steam cooking).
- Serve your hot Moroccan couscous, with the vegetables presented aside.",15,20,35,https://img.cuisineaz.com/660x660/2022/02/23/i183013-couscous-marocain.jpeg,https://www.cuisineaz.com/
6,Moroccan Crêpe Msemen,Fine semolina (300 g) - flour (500 g) - fine salt (1 tsp) - lukewarm water (500 ml) - neutral oil (300 ml),"The Moroccan msemen is a particularly appetizing Arab pancake!Yum !
- Start by preparing the dough.Mix the flour, semolina and salt.Ideally make this mixture in a robot for a homogeneous dough at speed 1. Pour the water little by little and when the dough forms a ball, go speed 2 for 10 minutes so that it is well kneaded.If you do it by hand, do not neglect the kneading, otherwise your dough will not be elastic enough.
- Prepare your worktop so that you can place your dough and make 120 gram balls.Take a silicone brush and coat all the neutral oil balls.
- Oil your hands well, and flatten each ball until you get the finest paste as possible.Make sure that the dough does not tear.
- Sprinkle a sheet of dough obtained with fine semolina.Fold the edges to the middle and sprinkle with semolina again.Do the same so as to get a square.
- Take a second sheet of dough, sprinkle the semolina also.Place in the center of this sheet the square of dough does beforehand, sprinkle with semolina and start the fold again until a new square is obtained.
- Repeat with all the dough sheets.You get 6 squares of dough formed by these different sheets.Flatten each of them in order to obtain only 5 mm thick.
- To stuff them, take a large wooden spoon, and gently place your stuffing in the center of the Moroccan msemen.Please note, not to tear your Moroccan crepe dough, your stuffing should be cold!If it is hot, it will melt your dough.Gently fold the 4 corners so as to reform a square.
- Heat your pan with a taste of olive oil, it must be very hot to prevent your Moroccan Crepe Msemen dough from hanging.You can now cook the stuffed msemen for 2 to 3 minutes on each side.
- Tip: you can prepare in quantity, the stuffed msemen can be kept very easily in the refrigerator in aluminum foil!
- This recipe will accompany the whole period of Ramadan!Yum !",25,30,55,https://img.cuisineaz.com/660x660/2016/06/16/i29044-crepe-marocaine-msemen.jpeg,https://www.cuisineaz.com/
7,Moroccan fish tagine,White fish (750 g) - tomato (s) (2) - Pepper (s) Green (2) - Apple (s) of earth (3) - Carrot (s) (4) - Lemon (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s) (s)1) - Garlic (4 pod) - Coriander (1 bouquet (s)) - Green olives (1 glass (s)) - Cumin (1 tsp) - Paprika (1 tsp) - Pepper(1 tsp) - olive oil (0.5 glass (s)) - salt (1 pinch (s)),"In a bowl, prepare the Chermoula (marinade for fish): mix the olive oil, the chopped coriander, the cumin, the paprika, the pepper, the chopped garlic, the tomatoes cut into small dice, the juice ofA lemon and salt.Add the fish fillets cut into pieces.Mix with your hands, long enough for the fish to be well imbued with the mixture.Book.
- Peel the carrots.Cut them into sticks.Peel the potatoes and cut them into pieces.Grill the peppers on the gas flame (or in the oven), remove the skin by scraping it under the tap water and cut them into large strips.
- Arrange the carrot sticks in the bottom of the tagine dish and put the fish above.Add a glass of water.Cover with potatoes, peppers, olives and lemon pieces.Close the tagine dish and cook for about 40 min over very low heat.It is essential to use a heat diffuser between the gas flame and the tagine dish.
- Serve the hot fish tagine.",20,35,55,https://img.cuisineaz.com/660x660/2015/01/28/i113288-tajine-de-poisson-a-la-marocaine.jpg,https://www.cuisineaz.com/
8,Moroccan chopped meat brick,Brick (s) (20 sheets (s)) - minced meat (500 g) - fresh tomato (s) (6) - onion (s) (2) - chopped parsley () - cumin () - paprika () - Powder cinnamon (1 pinch (s)) - Crushed garlic (1 clove (s)) - chopped coriander () - ginger () - flour (1 tsp) - Water () - olive oil (3 tbsp) - Frying oil () - Pepper salt (),"Peel the onions, cut them into small dice, brown them in a pan with 1 tsp.olive oil with the crushed garlic clove, stirring from time to time.Add 1/2 cup of water and cook the onions until they are softened.
- Cut the peeled tomatoes into dice and add them to the pan with the onions and garlic.Add the chopped parsley and coriander, then all spices as well as 2 tsp.olive oil and cook for 20 min.Then integrate the chopped meat (after putting the same spices), mix it as it is in the sauce and turns vigorously until it is based in the sauce.Leave on the fire until the water absorption, the sauce must be well consistent and ""dry"".
-Fold the brick sheet on itself and place it vertically (the rounded side on the left).Then fold it in 2 (the rounded round on the diameter on the right).Put almost 1 tsp.stuffing at the bottom of the sheet, fold the leaf at an angle so as to form a triangle with the dough.Take the garnished triangle and continue to bend up up.Mix the flour with water (the dough should be very viscous to stick the brick sheet), and close the sheet.
- Place the bricks in a dish.Heat oil to fry, once very hot, place the bricks in the oil one after the other, turn them quickly (it brings quickly), wait a few more seconds, and get them out of the'oil.Put on absorbent paper, and place them on lettuce leaves, enjoy!",30,40,70,https://img.cuisineaz.com/660x660/2013/12/20/i101958-bricks-viande-marocaine.jpg,https://www.cuisineaz.com/
9,Morocco orange salad,ORANGE (s) (7) - Roux sugar (2 tbsp) - Powder cinnamon (2 tbsp) - orange blossom water (1 tsp) - icing sugar (2 tbsp (2 tbspsoup),"Peel alive 6 oranges with a perfectly sharpened pointed knife: slice the ends of the orange and carefully remove all the white skin.Then raise the supremes into thin slices, cutting them well and removing all the skin.This work is long but it is really paying because it is much more pleasant in the mouth to have only the pulp on the plate!Place the slices of orange supremes in a large dish by forming a beautiful rosette.
- Press the last orange and collect the juice in a saucepan.Add the sugar and orange blossom water.Cook over low heat to form a syrup and let cool for about 10 min.
- Pour this orange syrup on the dish containing the oranges then sprinkle with cinnamon.Place in the refrigerator for at least an hour.
- Just before serving, sprinkle the dish with icing sugar.",15,25,40,https://img.cuisineaz.com/660x660/2016/06/23/i2159-salade-d-oranges-du-maroc.jpeg,https://www.cuisineaz.com/
